version,2.2.0
info,balls_per_over,6
info,team,Netherlands
info,team,United States of America
info,gender,male
info,season,2024
info,date,2024/08/28
info,event,Netherlands Tri-Nation T20I Series
info,match_number,6
info,venue,"Sportpark Westvliet, The Hague"
info,city,The Hague
info,toss_winner,Netherlands
info,toss_decision,bat
info,player_of_match,A Dutt
info,umpire,N Bathi
info,umpire,Rizwan Akram
info,reserve_umpire,M Prabhudesa
info,match_referee,Philip Thompson
info,winner,Netherlands
info,winner_runs,4
info,player,Netherlands,M Levitt
info,player,Netherlands,MP O'Dowd
info,player,Netherlands,Vikramjit Singh
info,player,Netherlands,SA Edwards
info,player,Netherlands,ZB Lion-Cachet
info,player,Netherlands,A Dutt
info,player,Netherlands,NRJ Croes
info,player,Netherlands,R Klein
info,player,Netherlands,K Klein
info,player,Netherlands,PA van Meekeren
info,player,Netherlands,DT Doram
info,player,United States of America,MD Patel
info,player,United States of America,SR Mukkamalla
info,player,United States of America,AGS Gous
info,player,United States of America,Aaron Jones
info,player,United States of America,NR Kumar
info,player,United States of America,Shayan Jahangir
info,player,United States of America,Harmeet Singh
info,player,United States of America,SC van Schalkwyk
info,player,United States of America,Jasdeep Singh
info,player,United States of America,NP Kenjige
info,player,United States of America,Yasir Mohammad
info,registry,people,A Dutt,803dbf1d
info,registry,people,AGS Gous,d1305df0
info,registry,people,Aaron Jones,17aa4f1d
info,registry,people,DT Doram,3bea1983
info,registry,people,Harmeet Singh,0bf15e52
info,registry,people,Jasdeep Singh,5ec41cd7
info,registry,people,K Klein,374bb5e7
info,registry,people,M Levitt,6a71ba3a
info,registry,people,M Prabhudesa,c36bcd1e
info,registry,people,MD Patel,25d7f1ac
info,registry,people,MP O'Dowd,b699df47
info,registry,people,N Bathi,96a0edf9
info,registry,people,NP Kenjige,f7d267f7
info,registry,people,NR Kumar,b3bad3f2
info,registry,people,NRJ Croes,f427e63e
info,registry,people,PA van Meekeren,4557dc54
info,registry,people,Philip Thompson,0c677650
info,registry,people,R Klein,ff1ec94d
info,registry,people,Rizwan Akram,b5346f1e
info,registry,people,SA Edwards,b59db04f
info,registry,people,SC van Schalkwyk,97b0e4ff
info,registry,people,SR Mukkamalla,156d0ea2
info,registry,people,Shayan Jahangir,571e1d2a
info,registry,people,Vikramjit Singh,2a9eee66
info,registry,people,Yasir Mohammad,fe5175ce
info,registry,people,ZB Lion-Cachet,d99de998
