version,2.2.0
info,balls_per_over,6
info,team,Cameroon
info,team,Nigeria
info,gender,male
info,season,2022/23
info,date,2022/12/05
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier
info,match_number,15
info,venue,Gahanga International Cricket Stadium. Rwanda
info,city,Kigali City
info,toss_winner,Nigeria
info,toss_decision,field
info,umpire,F Mutizwa
info,umpire,Gasana Christian
info,reserve_umpire,S Kintu
info,match_referee,SA Fritz
info,winner,Nigeria
info,winner_runs,17
info,method,D/L
info,player,Cameroon,BN Toube
info,player,Cameroon,I Tchakou
info,player,Cameroon,JB Abega
info,player,Cameroon,RGA Amah
info,player,Cameroon,P Abanda
info,player,Cameroon,AN Toube
info,player,Cameroon,DB Loic
info,player,Cameroon,AR Balla
info,player,Cameroon,AN Aminou
info,player,Cameroon,CB Ondoa
info,player,Cameroon,RD Atangana
info,player,Nigeria,Sulaimon Runsewe
info,player,Nigeria,A Shreshta
info,player,Nigeria,JO Adedeji
info,player,Nigeria,P Aho
info,player,Nigeria,IO Okpe
info,player,Nigeria,SA Okpe
info,player,Nigeria,Mohameed Taiwo
info,player,Nigeria,CN Onwuzulike
info,player,Nigeria,AE Isesele
info,player,Nigeria,Joshua Asia
info,player,Nigeria,R Abdulkareem
info,registry,people,A Shreshta,4e9af8f6
info,registry,people,AE Isesele,5249f9c4
info,registry,people,AN Aminou,6d9d2de7
info,registry,people,AN Toube,7f929ebe
info,registry,people,AR Balla,4b83e65a
info,registry,people,BN Toube,75f3aa00
info,registry,people,CB Ondoa,b3179e21
info,registry,people,CN Onwuzulike,715dbf27
info,registry,people,DB Loic,01679383
info,registry,people,F Mutizwa,d3e83eef
info,registry,people,Gasana Christian,f5d91a1f
info,registry,people,I Tchakou,4d2b96b4
info,registry,people,IO Okpe,1c5c3dce
info,registry,people,JB Abega,b7abb123
info,registry,people,JO Adedeji,abee08c7
info,registry,people,Joshua Asia,c4ecc42c
info,registry,people,Mohameed Taiwo,a9d788e3
info,registry,people,P Abanda,90a8dfec
info,registry,people,P Aho,2e392afa
info,registry,people,R Abdulkareem,b9e07e44
info,registry,people,RD Atangana,490f475a
info,registry,people,RGA Amah,90f9aedf
info,registry,people,S Kintu,ff387f93
info,registry,people,SA Fritz,d15e60c8
info,registry,people,SA Okpe,681f522f
info,registry,people,Sulaimon Runsewe,c25d26dc
