version,2.2.0
info,balls_per_over,6
info,team,Qatar
info,team,Bahrain
info,gender,male
info,season,2024/25
info,date,2024/11/25
info,event,ICC Men's T20 World Cup Asia Qualifier B
info,match_number,13
info,venue,"West End Park International Cricket Stadium, Doha"
info,city,Doha
info,toss_winner,Bahrain
info,toss_decision,field
info,umpire,Akbar Ali
info,umpire,VG Rathi
info,reserve_umpire,Ahmed Shah Durrani
info,match_referee,Ali Naqvi
info,winner,Qatar
info,winner_runs,13
info,player,Qatar,I Liyanage
info,player,Qatar,Saqlain Arshad
info,player,Qatar,Mohammad Ahnaff
info,player,Qatar,Muhammad Tanveer
info,player,Qatar,Ikramullah Khan
info,player,Qatar,MM Baig
info,player,Qatar,Mohammad Rizlan
info,player,Qatar,Amir Farooq
info,player,Qatar,A Nagarajan
info,player,Qatar,Mohammed Nadeem
info,player,Qatar,Muhammad Jabir
info,player,Bahrain,Imran Ali Butt
info,player,Bahrain,Asif Ali
info,player,Bahrain,Imran Anwar
info,player,Bahrain,Sohail Ahmed
info,player,Bahrain,Fiaz Ahmed
info,player,Bahrain,Haider Butt
info,player,Bahrain,Ahmer Bin Nisar
info,player,Bahrain,Rizwan Butt
info,player,Bahrain,Ali Dawood
info,player,Bahrain,Imran Khan
info,player,Bahrain,Abdul Majid Abbasi
info,registry,people,A Nagarajan,856dcfa8
info,registry,people,Abdul Majid Abbasi,0cfb42b5
info,registry,people,Ahmed Shah Durrani,af23265a
info,registry,people,Ahmer Bin Nisar,afbc53ba
info,registry,people,Akbar Ali,e753931d
info,registry,people,Ali Dawood,596982e6
info,registry,people,Ali Naqvi,3c89fc88
info,registry,people,Amir Farooq,6e991bd4
info,registry,people,Asif Ali,0a4736eb
info,registry,people,Fiaz Ahmed,df1f2f29
info,registry,people,Haider Butt,14fd10b5
info,registry,people,I Liyanage,826e1017
info,registry,people,Ikramullah Khan,c6e1354c
info,registry,people,Imran Ali Butt,5d60560f
info,registry,people,Imran Anwar,a9a18e3e
info,registry,people,Imran Khan,da3b91fd
info,registry,people,MM Baig,add288ea
info,registry,people,Mohammad Ahnaff,9b85a13a
info,registry,people,Mohammad Rizlan,82afc034
info,registry,people,Mohammed Nadeem,856cbb1e
info,registry,people,Muhammad Jabir,b67af1c4
info,registry,people,Muhammad Tanveer,aef39fe4
info,registry,people,Rizwan Butt,e741ed8f
info,registry,people,Saqlain Arshad,71ad618b
info,registry,people,Sohail Ahmed,4db71b2e
info,registry,people,VG Rathi,144e5b16
