version,2.2.0
info,balls_per_over,6
info,team,Singapore
info,team,Philippines
info,gender,female
info,season,2024/25
info,date,2024/12/24
info,event,Philippines Women tour of Singapore
info,match_number,2
info,venue,Singapore National Cricket Ground
info,city,Singapore
info,toss_winner,Philippines
info,toss_decision,field
info,player_of_match,E Ungerman
info,umpire,S Ramesh
info,umpire,KSVP Venu Madhav
info,reserve_umpire,Seetharaman Pakirisamy
info,match_referee,T Senthil Kumar
info,winner,Singapore
info,winner_runs,8
info,player,Singapore,R Gnanaraj
info,player,Singapore,A Tomar
info,player,Singapore,Vinu Kumar
info,player,Singapore,Shafina Mahesh
info,player,Singapore,RR Seth
info,player,Singapore,DA Galia
info,player,Singapore,S Merican
info,player,Singapore,Damini Ramesh
info,player,Singapore,E Ungerman
info,player,Singapore,H Dhavina
info,player,Singapore,NL Jacinta Si Ping
info,player,Philippines,AR Valdez
info,player,Philippines,ABY Smith
info,player,Philippines,Angela Busa
info,player,Philippines,KK Donovan
info,player,Philippines,SF Sirah
info,player,Philippines,AS Miranda
info,player,Philippines,Karri Gullem Keen
info,player,Philippines,Kyte Gullem Keen
info,player,Philippines,R Castillo
info,player,Philippines,JKD Andreano
info,player,Philippines,JR Medianesta
info,registry,people,A Tomar,2af2427a
info,registry,people,ABY Smith,fcb4448f
info,registry,people,AR Valdez,3c3f34b0
info,registry,people,AS Miranda,283e47fa
info,registry,people,Angela Busa,cbef5af4
info,registry,people,DA Galia,ae0b5b95
info,registry,people,Damini Ramesh,c4480b25
info,registry,people,E Ungerman,3959c505
info,registry,people,H Dhavina,cd12f384
info,registry,people,JKD Andreano,757baa30
info,registry,people,JR Medianesta,538cb58a
info,registry,people,KK Donovan,ef2a7af4
info,registry,people,KSVP Venu Madhav,8c7fb752
info,registry,people,Karri Gullem Keen,bb7b014a
info,registry,people,Kyte Gullem Keen,f3f654c2
info,registry,people,NL Jacinta Si Ping,68c9a36f
info,registry,people,R Castillo,716ba9ef
info,registry,people,R Gnanaraj,6ab0658d
info,registry,people,RR Seth,7ccc0a38
info,registry,people,S Merican,f3f6f5a0
info,registry,people,S Ramesh,6055237d
info,registry,people,SF Sirah,48bd237f
info,registry,people,Seetharaman Pakirisamy,61a3ec23
info,registry,people,Shafina Mahesh,0c40b02d
info,registry,people,T Senthil Kumar,961ddfac
info,registry,people,Vinu Kumar,3775b9f9
