version,2.2.0
info,balls_per_over,6
info,team,Namibia
info,team,Nigeria
info,gender,female
info,season,2023/24
info,date,2023/12/10
info,event,ICC Women's T20 World Cup Africa Region Qualifier
info,match_number,3
info,venue,Entebbe Cricket Oval
info,city,Entebbe
info,toss_winner,Nigeria
info,toss_decision,field
info,player_of_match,Yasmeen Khan
info,umpire,Patric Makumbi
info,umpire,S Kintu
info,reserve_umpire,LDVV Silva
info,match_referee,O Chirombe
info,winner,Namibia
info,winner_runs,9
info,player,Namibia,SA Wittmann
info,player,Namibia,Yasmeen Khan
info,player,Namibia,JA Diergaardt
info,player,Namibia,M Gorases
info,player,Namibia,M Mwatile
info,player,Namibia,KA Green
info,player,Namibia,E Van Zyl
info,player,Namibia,SN Shihepo
info,player,Namibia,V Hamunyela
info,player,Namibia,N Benjamin
info,player,Namibia,I van Zyl
info,player,Nigeria,F Eseigbe
info,player,Nigeria,E Sandy
info,player,Nigeria,P Agboya
info,player,Nigeria,L Piety
info,player,Nigeria,S Sunday
info,player,Nigeria,B Etim
info,player,Nigeria,C Chukwuonye
info,player,Nigeria,L Udeh
info,player,Nigeria,S Etim
info,player,Nigeria,R Abdulrasak
info,player,Nigeria,A Adekunle
info,registry,people,A Adekunle,1b0ce76e
info,registry,people,B Etim,11d0079f
info,registry,people,C Chukwuonye,bb0aac11
info,registry,people,E Sandy,59063d6b
info,registry,people,E Van Zyl,79ff52b5
info,registry,people,F Eseigbe,292d11ee
info,registry,people,I van Zyl,44c3cb6d
info,registry,people,JA Diergaardt,b72a8938
info,registry,people,KA Green,fa9fdefa
info,registry,people,L Piety,46a29dd0
info,registry,people,L Udeh,8451562a
info,registry,people,LDVV Silva,6e226c31
info,registry,people,M Gorases,d034d60a
info,registry,people,M Mwatile,92b9e9af
info,registry,people,N Benjamin,58317766
info,registry,people,O Chirombe,6345307f
info,registry,people,P Agboya,532ddb12
info,registry,people,Patric Makumbi,e4c69c16
info,registry,people,R Abdulrasak,65c9fc31
info,registry,people,S Etim,aa197946
info,registry,people,S Kintu,ff387f93
info,registry,people,S Sunday,594a0dec
info,registry,people,SA Wittmann,531aef3b
info,registry,people,SN Shihepo,1b3f7dbb
info,registry,people,V Hamunyela,d758a366
info,registry,people,Yasmeen Khan,ade5c0c0
