version,2.2.0
info,balls_per_over,6
info,team,Italy
info,team,Netherlands
info,gender,female
info,season,2023
info,date,2023/09/08
info,event,ICC Women's T20 World Cup Europe Region Qualifier
info,match_number,5
info,venue,"Desert Springs Cricket Ground, Almeria"
info,city,Almeria
info,toss_winner,Netherlands
info,toss_decision,field
info,player_of_match,IJR Zwilling
info,umpire,HE Kearns
info,umpire,Rizwan Akram
info,reserve_umpire,Adnan Khan
info,match_referee,DT Jukes
info,winner,Netherlands
info,winner_wickets,9
info,player,Italy,AS Withanage
info,player,Italy,M Rathnayake
info,player,Italy,C Mahamalage
info,player,Italy,Regina Khan
info,player,Italy,D Nanayakkara
info,player,Italy,EL Bartram
info,player,Italy,K Peddrick
info,player,Italy,S Malwatta
info,player,Italy,S Kanankege
info,player,Italy,S Toffoletto
info,player,Italy,N Asuramanage
info,player,Netherlands,IJR Zwilling
info,player,Netherlands,SL Kalis
info,player,Netherlands,B de Leede
info,player,Netherlands,HDJ Siegers
info,player,Netherlands,R Rijke
info,player,Netherlands,HWA Landheer
info,player,Netherlands,EN Lynch
info,player,Netherlands,C de Lange
info,player,Netherlands,P Molkenboer
info,player,Netherlands,MM Dekeling
info,player,Netherlands,CH van Koolwijk
info,registry,people,AS Withanage,078f166f
info,registry,people,Adnan Khan,45ec7a99
info,registry,people,B de Leede,b3020075
info,registry,people,C Mahamalage,3250b7db
info,registry,people,C de Lange,c6a019f5
info,registry,people,CH van Koolwijk,27d5901c
info,registry,people,D Nanayakkara,dbf22922
info,registry,people,DT Jukes,7c215d14
info,registry,people,EL Bartram,5fa7f030
info,registry,people,EN Lynch,4d35d0b3
info,registry,people,HDJ Siegers,6d48df01
info,registry,people,HE Kearns,fd4959c8
info,registry,people,HWA Landheer,a6ec88f4
info,registry,people,IJR Zwilling,47b32a5a
info,registry,people,K Peddrick,a031b75e
info,registry,people,M Rathnayake,a969dc4c
info,registry,people,MM Dekeling,983a0c34
info,registry,people,N Asuramanage,46dff613
info,registry,people,P Molkenboer,fa9db243
info,registry,people,R Rijke,42e4b276
info,registry,people,Regina Khan,862f4427
info,registry,people,Rizwan Akram,b5346f1e
info,registry,people,S Kanankege,01815edc
info,registry,people,S Malwatta,bc11f3a3
info,registry,people,S Toffoletto,9e498eac
info,registry,people,SL Kalis,2b150c6b
