version,2.2.0
info,balls_per_over,6
info,team,Rwanda
info,team,Botswana
info,gender,female
info,season,2024
info,date,2024/06/01
info,event,Kwibuka Women's Twenty20 Tournament
info,match_number,8
info,venue,"Gahanga International Cricket Stadium, Rwanda"
info,city,Kigali City
info,toss_winner,Rwanda
info,toss_decision,bat
info,player_of_match,H Ishimwe
info,umpire,R Singinzwa
info,umpire,V Iriho
info,reserve_umpire,Gaston Niyibizi
info,winner,Rwanda
info,winner_runs,74
info,player,Rwanda,MD Bimenyimana
info,player,Rwanda,M Uwase
info,player,Rwanda,G Ishimwe
info,player,Rwanda,S Niyomuhoza
info,player,Rwanda,H Ishimwe
info,player,Rwanda,C Uwase
info,player,Rwanda,A Ikuzwe
info,player,Rwanda,F Irakoze
info,player,Rwanda,Rosine Irera
info,player,Rwanda,R Shimwamana
info,player,Rwanda,I Muhawenimana
info,player,Botswana,O Kgeresi
info,player,Botswana,L Mophakedi
info,player,Botswana,S Mosweu
info,player,Botswana,P Mapotsane
info,player,Botswana,G Matome
info,player,Botswana,W Moutswi
info,player,Botswana,A Mokgotlhe
info,player,Botswana,T Shadrack
info,player,Botswana,K Inakale
info,player,Botswana,M Phiase
info,player,Botswana,A Letuba
info,registry,people,A Ikuzwe,6762a445
info,registry,people,A Letuba,6c712276
info,registry,people,A Mokgotlhe,781f1a40
info,registry,people,C Uwase,808bb510
info,registry,people,F Irakoze,14f0a5e3
info,registry,people,G Ishimwe,b5ae57ee
info,registry,people,G Matome,a6898f7a
info,registry,people,Gaston Niyibizi,eb99c84c
info,registry,people,H Ishimwe,ffa296f7
info,registry,people,I Muhawenimana,2f37396f
info,registry,people,K Inakale,eea862f6
info,registry,people,L Mophakedi,c8cdbb92
info,registry,people,M Phiase,537cc79f
info,registry,people,M Uwase,7d6ce83f
info,registry,people,MD Bimenyimana,c1a0cebe
info,registry,people,O Kgeresi,cba01c28
info,registry,people,P Mapotsane,9ea555a4
info,registry,people,R Shimwamana,03fb10bd
info,registry,people,R Singinzwa,0e58e89d
info,registry,people,Rosine Irera,b84718fd
info,registry,people,S Mosweu,10726a80
info,registry,people,S Niyomuhoza,a5424013
info,registry,people,T Shadrack,6d972d02
info,registry,people,V Iriho,2853eafb
info,registry,people,W Moutswi,e8c42000
