version,2.2.0
info,balls_per_over,6
info,team,India
info,team,Sri Lanka
info,gender,male
info,season,2024
info,date,2024/07/27
info,event,India tour of Sri Lanka
info,match_number,1
info,venue,Pallekele International Cricket Stadium
info,city,Kandy
info,toss_winner,Sri Lanka
info,toss_decision,field
info,player_of_match,SA Yadav
info,umpire,RR Wimalasiri
info,umpire,RSA Palliyaguruge
info,reserve_umpire,RMPJ Rambukwella
info,tv_umpire,LE Hannibal
info,match_referee,RS Madugalle
info,winner,India
info,winner_runs,43
info,player,India,YBK Jaiswal
info,player,India,Shubman Gill
info,player,India,SA Yadav
info,player,India,RR Pant
info,player,India,HH Pandya
info,player,India,R Parag
info,player,India,RK Singh
info,player,India,AR Patel
info,player,India,Arshdeep Singh
info,player,India,Ravi Bishnoi
info,player,India,Mohammed Siraj
info,player,Sri Lanka,P Nissanka
info,player,Sri Lanka,BKG Mendis
info,player,Sri Lanka,MDKJ Perera
info,player,Sri Lanka,PHKD Mendis
info,player,Sri Lanka,KIC Asalanka
info,player,Sri Lanka,MD Shanaka
info,player,Sri Lanka,PWH de Silva
info,player,Sri Lanka,M Theekshana
info,player,Sri Lanka,M Pathirana
info,player,Sri Lanka,AM Fernando
info,player,Sri Lanka,D Madushanka
info,registry,people,AM Fernando,de3d549a
info,registry,people,AR Patel,2e171977
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,BKG Mendis,5d1e7582
info,registry,people,D Madushanka,de7d833e
info,registry,people,HH Pandya,dbe50b21
info,registry,people,KIC Asalanka,732c038e
info,registry,people,LE Hannibal,3c04e91a
info,registry,people,M Pathirana,64839cb3
info,registry,people,M Theekshana,f24c6701
info,registry,people,MD Shanaka,3ff033bb
info,registry,people,MDKJ Perera,f21043a5
info,registry,people,Mohammed Siraj,2f49c897
info,registry,people,P Nissanka,8ee36b18
info,registry,people,PHKD Mendis,08548b13
info,registry,people,PWH de Silva,a97c8ec2
info,registry,people,R Parag,04a418e8
info,registry,people,RK Singh,0a509d6b
info,registry,people,RMPJ Rambukwella,13fa6ffc
info,registry,people,RR Pant,919a3be2
info,registry,people,RR Wimalasiri,4950c8db
info,registry,people,RS Madugalle,766b5798
info,registry,people,RSA Palliyaguruge,4339c19d
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,SA Yadav,271f83cd
info,registry,people,Shubman Gill,b4b99816
info,registry,people,YBK Jaiswal,6c19c6e5
