version,2.2.0
info,balls_per_over,6
info,team,West Indies
info,team,Uganda
info,gender,male
info,season,2024
info,date,2024/06/08
info,event,ICC Men's T20 World Cup
info,match_number,18
info,venue,"Providence Stadium, Guyana"
info,city,Providence
info,toss_winner,West Indies
info,toss_decision,bat
info,player_of_match,AJ Hosein
info,umpire,HDPK Dharmasena
info,umpire,Rashid Riaz
info,reserve_umpire,Ahsan Raza
info,tv_umpire,AT Holdstock
info,match_referee,J Srinath
info,winner,West Indies
info,winner_runs,134
info,player,West Indies,BA King
info,player,West Indies,J Charles
info,player,West Indies,N Pooran
info,player,West Indies,R Powell
info,player,West Indies,SE Rutherford
info,player,West Indies,AD Russell
info,player,West Indies,R Shepherd
info,player,West Indies,RL Chase
info,player,West Indies,AJ Hosein
info,player,West Indies,AS Joseph
info,player,West Indies,G Motie
info,player,Uganda,RG Mukasa
info,player,Uganda,S Sesazi
info,player,Uganda,R Obuya
info,player,Uganda,AR Ramjani
info,player,Uganda,K Waiswa
info,player,Uganda,Riazat Ali Shah
info,player,Uganda,DM Nakrani
info,player,Uganda,B Masaba
info,player,Uganda,J Miyaji
info,player,Uganda,C Kyewuta
info,player,Uganda,F Nsubuga
info,registry,people,AD Russell,bbd41817
info,registry,people,AJ Hosein,4d7f517e
info,registry,people,AR Ramjani,30d8136b
info,registry,people,AS Joseph,b0946605
info,registry,people,AT Holdstock,6fa3258c
info,registry,people,Ahsan Raza,e0e5b209
info,registry,people,B Masaba,f33cfd25
info,registry,people,BA King,7fca84b7
info,registry,people,C Kyewuta,395695ce
info,registry,people,DM Nakrani,46a7ac78
info,registry,people,F Nsubuga,87e33d07
info,registry,people,G Motie,97bdec3d
info,registry,people,HDPK Dharmasena,323e4c16
info,registry,people,J Charles,09a9d073
info,registry,people,J Miyaji,414d8a10
info,registry,people,J Srinath,bad31fac
info,registry,people,K Waiswa,a3a275ec
info,registry,people,N Pooran,3241e3fd
info,registry,people,R Obuya,6bc04a3e
info,registry,people,R Powell,650d5e49
info,registry,people,R Shepherd,c5aef772
info,registry,people,RG Mukasa,011f6b42
info,registry,people,RL Chase,3feda4fa
info,registry,people,Rashid Riaz,fb82725e
info,registry,people,Riazat Ali Shah,269cc4ff
info,registry,people,S Sesazi,c2c975f9
info,registry,people,SE Rutherford,d014d5ac
