version,2.2.0
info,balls_per_over,6
info,team,Denmark
info,team,Norway
info,gender,female
info,season,2024
info,date,2024/09/14
info,event,Women's T20I Quadrangular Series (in Denmark)
info,match_number,1
info,venue,Koge Cricket Club
info,city,Koge
info,toss_winner,Denmark
info,toss_decision,bat
info,player_of_match,NP Dalgaard
info,umpire,G O'Grady
info,umpire,S Natesaan
info,winner,Denmark
info,winner_runs,40
info,player,Denmark,L Ostergaard
info,player,Denmark,ML Karlsen
info,player,Denmark,TS Erichsen
info,player,Denmark,L Leisner
info,player,Denmark,A Ostergaard
info,player,Denmark,K Brock-Nielsen
info,player,Denmark,NP Dalgaard
info,player,Denmark,C Ostergaard
info,player,Denmark,D Golechha
info,player,Denmark,S Ostergaard
info,player,Denmark,AB Slebsager
info,player,Norway,AS Gorad
info,player,Norway,Nayab Alizai
info,player,Norway,Ayesha Hasan
info,player,Norway,R Immadi
info,player,Norway,Nayab Razwan
info,player,Norway,Mahnoor Akram
info,player,Norway,Alina Aslam
info,player,Norway,Mirab Razwan
info,player,Norway,P Agrawal
info,player,Norway,Lopamudra
info,player,Norway,Prachi Kumari
info,registry,people,A Ostergaard,36ffe914
info,registry,people,AB Slebsager,4ae7048b
info,registry,people,AS Gorad,2c8d0953
info,registry,people,Alina Aslam,fbffb752
info,registry,people,Ayesha Hasan,6a3de477
info,registry,people,C Ostergaard,e212b0fd
info,registry,people,D Golechha,c2c12f2a
info,registry,people,G O'Grady,e5f74630
info,registry,people,K Brock-Nielsen,c14ba87c
info,registry,people,L Leisner,ed614ded
info,registry,people,L Ostergaard,3a5160d9
info,registry,people,Lopamudra,ff4509d5
info,registry,people,ML Karlsen,4302af3d
info,registry,people,Mahnoor Akram,2b7c2d50
info,registry,people,Mirab Razwan,498031f9
info,registry,people,NP Dalgaard,40283617
info,registry,people,Nayab Alizai,7861375e
info,registry,people,Nayab Razwan,f12e21a0
info,registry,people,P Agrawal,bb1fcd51
info,registry,people,Prachi Kumari,dc4f97bf
info,registry,people,R Immadi,baeae6dd
info,registry,people,S Natesaan,924d52f5
info,registry,people,S Ostergaard,a19e799b
info,registry,people,TS Erichsen,9894e7b9
