version,2.2.0
info,balls_per_over,6
info,team,Indonesia
info,team,Thailand
info,gender,male
info,season,2024/25
info,date,2024/10/20
info,event,Bhutan Quadrangular T20I Series
info,match_number,4
info,venue,Gelephu International Cricket Ground
info,city,Gelephu
info,toss_winner,Indonesia
info,toss_decision,bat
info,player_of_match,J Coetzee
info,umpire,Dorji
info,umpire,ON Pradhan
info,tv_umpire,U Dorji
info,match_referee,Sarika Prasad
info,winner,Thailand
info,winner_wickets,6
info,player,Indonesia,Ahmad Ramdoni
info,player,Indonesia,Anjar Tadarus
info,player,Indonesia,F Banunaek
info,player,Indonesia,GA Priandana
info,player,Indonesia,J Dzulfikar
info,player,Indonesia,KD Kesuma
info,player,Indonesia,DJ Hawoe
info,player,Indonesia,IKEG Artawan
info,player,Indonesia,FFJ Heo
info,player,Indonesia,GD Arta
info,player,Indonesia,DGAPD Wiswi
info,player,Thailand,AP Yadav
info,player,Thailand,C Chatphaisan
info,player,Thailand,Y Saranonnakkun
info,player,Thailand,AV Lazarus
info,player,Thailand,J Coetzee
info,player,Thailand,S Rungrueang
info,player,Thailand,A Kalasi
info,player,Thailand,Sarawut Maliwan
info,player,Thailand,K Senamontree
info,player,Thailand,N Senamontree
info,player,Thailand,C Pengkumta
info,registry,people,A Kalasi,8930a2a6
info,registry,people,AP Yadav,a5501504
info,registry,people,AV Lazarus,30c917bf
info,registry,people,Ahmad Ramdoni,b5f30525
info,registry,people,Anjar Tadarus,72275237
info,registry,people,C Chatphaisan,85c56be8
info,registry,people,C Pengkumta,b3540b2a
info,registry,people,DGAPD Wiswi,d3d096f5
info,registry,people,DJ Hawoe,a62f55ba
info,registry,people,Dorji,a6b688ef
info,registry,people,F Banunaek,3c8faed4
info,registry,people,FFJ Heo,c73c75f9
info,registry,people,GA Priandana,2af0e3b1
info,registry,people,GD Arta,e969e580
info,registry,people,IKEG Artawan,190957d2
info,registry,people,J Coetzee,3ad06915
info,registry,people,J Dzulfikar,05ea0342
info,registry,people,K Senamontree,e553e27f
info,registry,people,KD Kesuma,4b349dc0
info,registry,people,N Senamontree,44e00a4c
info,registry,people,ON Pradhan,d41a08d6
info,registry,people,S Rungrueang,35ae9e8a
info,registry,people,Sarawut Maliwan,36a0a88c
info,registry,people,Sarika Prasad,8ff397fa
info,registry,people,U Dorji,12bba2d4
info,registry,people,Y Saranonnakkun,9c93c0a3
