version,2.2.0
info,balls_per_over,6
info,team,West Indies
info,team,New Zealand
info,gender,male
info,season,2024
info,date,2024/06/12
info,event,ICC Men's T20 World Cup
info,match_number,26
info,venue,"Brian Lara Stadium, Tarouba, Trinidad"
info,city,Tarouba
info,toss_winner,New Zealand
info,toss_decision,field
info,player_of_match,SE Rutherford
info,umpire,Ahsan Raza
info,umpire,AG Wharf
info,reserve_umpire,MA Gough
info,tv_umpire,RK Illingworth
info,match_referee,DC Boon
info,winner,West Indies
info,winner_runs,13
info,player,West Indies,BA King
info,player,West Indies,J Charles
info,player,West Indies,N Pooran
info,player,West Indies,RL Chase
info,player,West Indies,R Powell
info,player,West Indies,SE Rutherford
info,player,West Indies,AJ Hosein
info,player,West Indies,AD Russell
info,player,West Indies,R Shepherd
info,player,West Indies,AS Joseph
info,player,West Indies,G Motie
info,player,New Zealand,DP Conway
info,player,New Zealand,FH Allen
info,player,New Zealand,R Ravindra
info,player,New Zealand,KS Williamson
info,player,New Zealand,DJ Mitchell
info,player,New Zealand,GD Phillips
info,player,New Zealand,JDS Neesham
info,player,New Zealand,MJ Santner
info,player,New Zealand,TG Southee
info,player,New Zealand,TA Boult
info,player,New Zealand,LH Ferguson
info,registry,people,AD Russell,bbd41817
info,registry,people,AG Wharf,2e0fcc58
info,registry,people,AJ Hosein,4d7f517e
info,registry,people,AS Joseph,b0946605
info,registry,people,Ahsan Raza,e0e5b209
info,registry,people,BA King,7fca84b7
info,registry,people,DC Boon,e79a1fe3
info,registry,people,DJ Mitchell,eade4650
info,registry,people,DP Conway,df5a6881
info,registry,people,FH Allen,bf74b130
info,registry,people,G Motie,97bdec3d
info,registry,people,GD Phillips,9a46c4e5
info,registry,people,J Charles,09a9d073
info,registry,people,JDS Neesham,9219eff0
info,registry,people,KS Williamson,d027ba9f
info,registry,people,LH Ferguson,2f9d0389
info,registry,people,MA Gough,76752ac8
info,registry,people,MJ Santner,e4a0deae
info,registry,people,N Pooran,3241e3fd
info,registry,people,R Powell,650d5e49
info,registry,people,R Ravindra,ba5e1069
info,registry,people,R Shepherd,c5aef772
info,registry,people,RK Illingworth,20672246
info,registry,people,RL Chase,3feda4fa
info,registry,people,SE Rutherford,d014d5ac
info,registry,people,TA Boult,a818c1be
info,registry,people,TG Southee,13c35c9e
