version,2.2.0
info,balls_per_over,6
info,team,Rwanda
info,team,Kenya
info,gender,male
info,season,2023
info,date,2023/06/14
info,event,Africa Continental Cup
info,match_number,10
info,venue,"Gymkhana Club Ground, Nairobi"
info,city,Nairobi
info,toss_winner,Rwanda
info,toss_decision,bat
info,player_of_match,S Singh
info,umpire,Charles Kariuki
info,umpire,R D'Mello
info,reserve_umpire,J Karuri
info,winner,Kenya
info,winner_wickets,7
info,player,Rwanda,O Tuyisenge
info,player,Rwanda,E Dusingizimana
info,player,Rwanda,D Ndikubwimana
info,player,Rwanda,W Niyitanga
info,player,Rwanda,C Rububagumya
info,player,Rwanda,K Irakoze
info,player,Rwanda,O Manishimwe
info,player,Rwanda,M Akayezu
info,player,Rwanda,E Rukiriza
info,player,Rwanda,Z Bimenyimana
info,player,Rwanda,I Ntirenganya
info,player,Kenya,RN Patel
info,player,Kenya,AA Obanda
info,player,Kenya,S Singh
info,player,Kenya,SR Bhudia
info,player,Kenya,RR Patel
info,player,Kenya,LN Oluoch
info,player,Kenya,EB Ringera
info,player,Kenya,SO Ngoche
info,player,Kenya,Vraj Patel
info,player,Kenya,P Koech
info,player,Kenya,Vishil Patel
info,registry,people,AA Obanda,7081491e
info,registry,people,C Rububagumya,8088632c
info,registry,people,Charles Kariuki,8de34db0
info,registry,people,D Ndikubwimana,3cbedf51
info,registry,people,E Dusingizimana,c15e7ba4
info,registry,people,E Rukiriza,3ac13a94
info,registry,people,EB Ringera,6cedad99
info,registry,people,I Ntirenganya,e73f6c4b
info,registry,people,J Karuri,5a9b694c
info,registry,people,K Irakoze,9ccb6e52
info,registry,people,LN Oluoch,eb4f9c61
info,registry,people,M Akayezu,1f3b9f8d
info,registry,people,O Manishimwe,fb31ca49
info,registry,people,O Tuyisenge,e6a6888f
info,registry,people,P Koech,f4a0a615
info,registry,people,R D'Mello,f3c22863
info,registry,people,RN Patel,db1bf9c2
info,registry,people,RR Patel,7fa6bd8e
info,registry,people,S Singh,612a395c
info,registry,people,SO Ngoche,49118dc7
info,registry,people,SR Bhudia,e9173fb0
info,registry,people,Vishil Patel,3df8f9d5
info,registry,people,Vraj Patel,2af28253
info,registry,people,W Niyitanga,e7631adc
info,registry,people,Z Bimenyimana,ba57fb08
