version,2.2.0
info,balls_per_over,6
info,team,Singapore
info,team,Myanmar
info,gender,female
info,season,2023/24
info,date,2024/02/11
info,event,Asian Cricket Council Women's Premier Cup
info,match_number,13
info,venue,"YSD-UKM Cricket Oval, Bangi"
info,city,Bangi
info,toss_winner,Singapore
info,toss_decision,bat
info,player_of_match,ZT Kyaw
info,umpire,L Poobalan
info,umpire,RK Yadav
info,reserve_umpire,Shivani Mishra
info,match_referee,B Ramani
info,winner,Myanmar
info,winner_wickets,5
info,player,Singapore,RR Seth
info,player,Singapore,Shafina Mahesh
info,player,Singapore,Ada Bhasin
info,player,Singapore,Vinu Kumar
info,player,Singapore,Vathana Sreemurugavel
info,player,Singapore,Riyaa Bhasin
info,player,Singapore,GK Diviya
info,player,Singapore,Damini Ramesh
info,player,Singapore,S Merican
info,player,Singapore,PSR Gurusinghe
info,player,Singapore,JS Pooranakaran
info,player,Myanmar,KM Myat
info,player,Myanmar,HH Aung
info,player,Myanmar,TT Soe
info,player,Myanmar,ZT Kyaw
info,player,Myanmar,LL Htun
info,player,Myanmar,ZL Win
info,player,Myanmar,MPP San
info,player,Myanmar,TT Aung
info,player,Myanmar,ZL Thoon
info,player,Myanmar,SY Win
info,player,Myanmar,Thae Thae Po
info,registry,people,Ada Bhasin,b1c113d7
info,registry,people,B Ramani,92ad5353
info,registry,people,Damini Ramesh,c4480b25
info,registry,people,GK Diviya,992979fa
info,registry,people,HH Aung,860042f6
info,registry,people,JS Pooranakaran,417bde96
info,registry,people,KM Myat,c1b4e25c
info,registry,people,L Poobalan,93cc9718
info,registry,people,LL Htun,ec687c3a
info,registry,people,MPP San,5bc290a2
info,registry,people,PSR Gurusinghe,591a7004
info,registry,people,RK Yadav,a872bd90
info,registry,people,RR Seth,7ccc0a38
info,registry,people,Riyaa Bhasin,3ff26cea
info,registry,people,S Merican,f3f6f5a0
info,registry,people,SY Win,33d65ab4
info,registry,people,Shafina Mahesh,0c40b02d
info,registry,people,Shivani Mishra,2982a0c7
info,registry,people,TT Aung,57fb24e6
info,registry,people,TT Soe,59f44fde
info,registry,people,Thae Thae Po,48a372a4
info,registry,people,Vathana Sreemurugavel,eb2d1983
info,registry,people,Vinu Kumar,3775b9f9
info,registry,people,ZL Thoon,8d0543ce
info,registry,people,ZL Win,b5714cf9
info,registry,people,ZT Kyaw,cdf63aaa
