version,2.2.0
info,balls_per_over,6
info,team,Canada
info,team,Cayman Islands
info,gender,male
info,season,2025
info,date,2025/04/23
info,event,North America T20 Cup
info,match_number,7
info,venue,"Jimmy Powell Oval, Cayman Islands"
info,city,George Town
info,toss_winner,Cayman Islands
info,toss_decision,field
info,player_of_match,Ali Nadeem
info,umpire,A Gajjar
info,umpire,D Smith
info,reserve_umpire,P Manning
info,winner,Canada
info,winner_runs,94
info,player,Canada,Ali Nadeem
info,player,Canada,NS Dhaliwal
info,player,Canada,M Gill
info,player,Canada,H Thaker
info,player,Canada,Ravinderpal Singh
info,player,Canada,S Movva
info,player,Canada,Shivam Sharma
info,player,Canada,Saad Bin Zafar
info,player,Canada,Akhil Kumar
info,player,Canada,Kaleem Sana
info,player,Canada,Sukhjinder Singh
info,player,Cayman Islands,J Baker
info,player,Cayman Islands,YSD Seneveratne
info,player,Cayman Islands,S Foster
info,player,Cayman Islands,RA Sealy
info,player,Cayman Islands,AR Naidoo
info,player,Cayman Islands,Davion Codner
info,player,Cayman Islands,ROC Dunka
info,player,Cayman Islands,D Johnson
info,player,Cayman Islands,C Wright
info,player,Cayman Islands,A Wright
info,player,Cayman Islands,J Buchanan
info,registry,people,A Gajjar,37db06ef
info,registry,people,A Wright,4bb7f51e
info,registry,people,AR Naidoo,68886c16
info,registry,people,Akhil Kumar,2feb5b8d
info,registry,people,Ali Nadeem,02802468
info,registry,people,C Wright,d465c6d7
info,registry,people,D Johnson,d406e303
info,registry,people,D Smith,388bbca2
info,registry,people,Davion Codner,6a84b40e
info,registry,people,H Thaker,c01d7726
info,registry,people,J Baker,a12672e0
info,registry,people,J Buchanan,01127aa9
info,registry,people,Kaleem Sana,14810ee7
info,registry,people,M Gill,2eb25b39
info,registry,people,NS Dhaliwal,cbabd6ad
info,registry,people,P Manning,f06b5585
info,registry,people,RA Sealy,1e98804a
info,registry,people,ROC Dunka,762f43b7
info,registry,people,Ravinderpal Singh,f80682f8
info,registry,people,S Foster,3595ad3b
info,registry,people,S Movva,ee229588
info,registry,people,Saad Bin Zafar,f28a60e0
info,registry,people,Shivam Sharma,5bdeeed4
info,registry,people,Sukhjinder Singh,ada72696
info,registry,people,YSD Seneveratne,0f71478c
