version,2.2.0
info,balls_per_over,6
info,team,Zimbabwe
info,team,United States of America
info,gender,female
info,season,2025
info,date,2025/04/25
info,event,Zimbabwe Women tour of United States of America
info,match_number,1
info,venue,"Grand Prairie Stadium, Dallas"
info,city,Dallas
info,toss_winner,United States of America
info,toss_decision,field
info,player_of_match,B Biza
info,umpire,Jermaine Lindo
info,umpire,Vijaya Mallela
info,reserve_umpire,R Samuels
info,winner,Zimbabwe
info,winner_runs,28
info,player,Zimbabwe,K Ndlovu
info,player,Zimbabwe,M Mupachikwa
info,player,Zimbabwe,CS Mugeri-Tiripano
info,player,Zimbabwe,L Tshuma
info,player,Zimbabwe,B Biza
info,player,Zimbabwe,J Nkomo
info,player,Zimbabwe,NL Mtomba
info,player,Zimbabwe,CT Dhururu
info,player,Zimbabwe,A Zimunu
info,player,Zimbabwe,N Sibanda
info,player,Zimbabwe,P Marange
info,player,United States of America,D Dhingra
info,player,United States of America,CR Pagydyala
info,player,United States of America,GC Bhogle
info,player,United States of America,IM Vaghela
info,player,United States of America,RP Singh
info,player,United States of America,BO Shastri
info,player,United States of America,AI Chudasama
info,player,United States of America,Pooja Ganesh
info,player,United States of America,Maahi Madhavan
info,player,United States of America,S Immadi
info,player,United States of America,G Kodali
info,registry,people,A Zimunu,af6c03bc
info,registry,people,AI Chudasama,9414a81c
info,registry,people,B Biza,8a522c6c
info,registry,people,BO Shastri,06cfea59
info,registry,people,CR Pagydyala,d7c02672
info,registry,people,CS Mugeri-Tiripano,99c86133
info,registry,people,CT Dhururu,8d7fba79
info,registry,people,D Dhingra,b0dc5d0d
info,registry,people,G Kodali,f606177e
info,registry,people,GC Bhogle,a1965ce2
info,registry,people,IM Vaghela,8d62fc14
info,registry,people,J Nkomo,36dfa62e
info,registry,people,Jermaine Lindo,1154bf4f
info,registry,people,K Ndlovu,8d25271a
info,registry,people,L Tshuma,f281dd00
info,registry,people,M Mupachikwa,6657b319
info,registry,people,Maahi Madhavan,c6002ece
info,registry,people,N Sibanda,edf62a25
info,registry,people,NL Mtomba,857b57ac
info,registry,people,P Marange,a4f1fdd4
info,registry,people,Pooja Ganesh,a186b627
info,registry,people,R Samuels,8a8bc9f6
info,registry,people,RP Singh,0ab3c788
info,registry,people,S Immadi,a6dd06d6
info,registry,people,Vijaya Mallela,85b6244a
