version,2.2.0
info,balls_per_over,6
info,team,Scotland
info,team,West Indies
info,gender,female
info,season,2024/25
info,date,2024/10/06
info,event,ICC Women's T20 World Cup
info,match_number,8
info,venue,Dubai International Cricket Stadium
info,city,Dubai
info,toss_winner,Scotland
info,toss_decision,bat
info,player_of_match,CA Henry
info,umpire,Kim Cotton
info,umpire,S Redfern
info,reserve_umpire,AY Harris
info,tv_umpire,N Perera
info,match_referee,GS Lakshmi
info,winner,West Indies
info,winner_wickets,6
info,player,Scotland,S Horley
info,player,Scotland,SJ Bryce
info,player,Scotland,KE Bryce
info,player,Scotland,A Lister
info,player,Scotland,PA Chatterji
info,player,Scotland,L Jack
info,player,Scotland,DEM Carter
info,player,Scotland,K Fraser
info,player,Scotland,R Slater
info,player,Scotland,AH Maqsood
info,player,Scotland,O Bell
info,player,West Indies,HK Matthews
info,player,West Indies,SR Taylor
info,player,West Indies,Q Joseph
info,player,West Indies,SA Campbelle
info,player,West Indies,DJS Dottin
info,player,West Indies,CA Henry
info,player,West Indies,AA Alleyne
info,player,West Indies,CN Nation
info,player,West Indies,ASS Fletcher
info,player,West Indies,A Munisar
info,player,West Indies,K Ramharack
info,registry,people,A Lister,090c0213
info,registry,people,A Munisar,a811cb83
info,registry,people,AA Alleyne,4b0e3049
info,registry,people,AH Maqsood,f61e2829
info,registry,people,ASS Fletcher,42d9dd09
info,registry,people,AY Harris,90d95b82
info,registry,people,CA Henry,75820733
info,registry,people,CN Nation,639000b6
info,registry,people,DEM Carter,c3394c16
info,registry,people,DJS Dottin,53bee17f
info,registry,people,GS Lakshmi,ba8d5615
info,registry,people,HK Matthews,d32cf49a
info,registry,people,K Fraser,a0a65375
info,registry,people,K Ramharack,321c980e
info,registry,people,KE Bryce,f13d3eba
info,registry,people,Kim Cotton,67a7c2ee
info,registry,people,L Jack,e565ceb7
info,registry,people,N Perera,129709f9
info,registry,people,O Bell,385eac52
info,registry,people,PA Chatterji,8e7be59c
info,registry,people,Q Joseph,d6164dc0
info,registry,people,R Slater,8a452195
info,registry,people,S Horley,8cd72e0b
info,registry,people,S Redfern,5b038989
info,registry,people,SA Campbelle,a7cd72b2
info,registry,people,SJ Bryce,2ca65aee
info,registry,people,SR Taylor,92cf79a8
