version,2.2.0
info,balls_per_over,6
info,team,Bermuda
info,team,Belize
info,gender,male
info,season,2024/25
info,date,2024/12/12
info,event,ICC Men's T20 World Cup Sub Regional Americas Qualifier
info,match_number,24
info,venue,"St George's College Ground, Buenos Aires"
info,city,Buenos Aires
info,toss_winner,Belize
info,toss_decision,field
info,player_of_match,DC Stovell
info,umpire,A Gajjar
info,umpire,Vijaya Mallela
info,reserve_umpire,H Grewal
info,match_referee,Phil Whitticase
info,winner,Bermuda
info,winner_runs,71
info,player,Bermuda,TS Fray
info,player,Bermuda,T Manders
info,player,Bermuda,AD Dore
info,player,Bermuda,OGL Bascome
info,player,Bermuda,D Sabir
info,player,Bermuda,DL Brangman
info,player,Bermuda,Jonte Smith
info,player,Bermuda,DC Stovell
info,player,Bermuda,JDA Richardson
info,player,Bermuda,Chare Smith
info,player,Bermuda,K Fubler
info,player,Belize,NN Banner
info,player,Belize,O Casasola
info,player,Belize,ML Castillo
info,player,Belize,BS Stephenson
info,player,Belize,L Bonner
info,player,Belize,A Oxley
info,player,Belize,Garret Banner
info,player,Belize,R Jones
info,player,Belize,C Stephenson
info,player,Belize,GG Banner
info,player,Belize,B Lewis
info,registry,people,A Gajjar,37db06ef
info,registry,people,A Oxley,d1317833
info,registry,people,AD Dore,aa867444
info,registry,people,B Lewis,f68bac56
info,registry,people,BS Stephenson,db571b24
info,registry,people,C Stephenson,c2123fd0
info,registry,people,Chare Smith,4e1b7998
info,registry,people,D Sabir,04bc296f
info,registry,people,DC Stovell,7f6c2dae
info,registry,people,DL Brangman,dab18aa5
info,registry,people,GG Banner,aeb893b4
info,registry,people,Garret Banner,ac1ddea1
info,registry,people,H Grewal,1172f36e
info,registry,people,JDA Richardson,e8c00c13
info,registry,people,Jonte Smith,ae4d0b45
info,registry,people,K Fubler,b471ff6c
info,registry,people,L Bonner,fd94c29f
info,registry,people,ML Castillo,9853b404
info,registry,people,NN Banner,0697b5a1
info,registry,people,O Casasola,15fe1668
info,registry,people,OGL Bascome,94a1827c
info,registry,people,Phil Whitticase,99d5f6fa
info,registry,people,R Jones,835aa08f
info,registry,people,T Manders,6d2b9724
info,registry,people,TS Fray,c7537f8a
info,registry,people,Vijaya Mallela,85b6244a
