version,2.2.0
info,balls_per_over,6
info,team,United States of America
info,team,Cayman Islands
info,gender,male
info,season,2025
info,date,2025/04/19
info,event,North America T20 Cup
info,match_number,1
info,venue,"Jimmy Powell Oval, Cayman Islands"
info,city,George Town
info,toss_winner,United States of America
info,toss_decision,bat
info,player_of_match,MD Patel
info,umpire,D Smith
info,umpire,M Thetchanamurthy
info,reserve_umpire,NH Ekanayake
info,winner,United States of America
info,winner_runs,79
info,player,United States of America,Shayan Jahangir
info,player,United States of America,SR Mukkamalla
info,player,United States of America,MD Patel
info,player,United States of America,Milind Kumar
info,player,United States of America,Aaron Jones
info,player,United States of America,SP Krishnamurthi
info,player,United States of America,Ali Sheikh
info,player,United States of America,Jasdeep Singh
info,player,United States of America,Yasir Mohammad
info,player,United States of America,SN Netravalkar
info,player,United States of America,B Akhilesh Reddy
info,player,Cayman Islands,J Baker
info,player,Cayman Islands,YSD Seneveratne
info,player,Cayman Islands,AR Naidoo
info,player,Cayman Islands,RA Sealy
info,player,Cayman Islands,S Foster
info,player,Cayman Islands,D Johnson
info,player,Cayman Islands,Davion Codner
info,player,Cayman Islands,R Edwards
info,player,Cayman Islands,C Wright
info,player,Cayman Islands,AF Ifill
info,player,Cayman Islands,A Wright
info,registry,people,A Wright,4bb7f51e
info,registry,people,AF Ifill,0e6c2f00
info,registry,people,AR Naidoo,68886c16
info,registry,people,Aaron Jones,17aa4f1d
info,registry,people,Ali Sheikh,fa4f5a0b
info,registry,people,B Akhilesh Reddy,2df72aae
info,registry,people,C Wright,d465c6d7
info,registry,people,D Johnson,d406e303
info,registry,people,D Smith,388bbca2
info,registry,people,Davion Codner,6a84b40e
info,registry,people,J Baker,a12672e0
info,registry,people,Jasdeep Singh,5ec41cd7
info,registry,people,M Thetchanamurthy,23c364a2
info,registry,people,MD Patel,25d7f1ac
info,registry,people,Milind Kumar,b4296080
info,registry,people,NH Ekanayake,00c98c78
info,registry,people,R Edwards,4c5a72e2
info,registry,people,RA Sealy,1e98804a
info,registry,people,S Foster,3595ad3b
info,registry,people,SN Netravalkar,c8a3f688
info,registry,people,SP Krishnamurthi,3b8e7647
info,registry,people,SR Mukkamalla,156d0ea2
info,registry,people,Shayan Jahangir,571e1d2a
info,registry,people,YSD Seneveratne,0f71478c
info,registry,people,Yasir Mohammad,fe5175ce
