version,2.2.0
info,balls_per_over,6
info,team,Netherlands
info,team,United Arab Emirates
info,gender,female
info,season,2024
info,date,2024/04/29
info,event,ICC Women's T20 World Cup Qualifier
info,match_number,12
info,venue,"Zayed Cricket Stadium, Abu Dhabi"
info,city,Abu Dhabi
info,toss_winner,Netherlands
info,toss_decision,bat
info,player_of_match,ER Oza
info,umpire,Gazi Sohel
info,umpire,Shivani Mishra
info,reserve_umpire,K Klaaste
info,match_referee,GS Lakshmi
info,winner,United Arab Emirates
info,winner_wickets,10
info,player,Netherlands,HDJ Siegers
info,player,Netherlands,SL Kalis
info,player,Netherlands,B de Leede
info,player,Netherlands,R Rijke
info,player,Netherlands,IJR Zwilling
info,player,Netherlands,F Overdijk
info,player,Netherlands,EN Lynch
info,player,Netherlands,HWA Landheer
info,player,Netherlands,C de Lange
info,player,Netherlands,S Siegers
info,player,Netherlands,MM Dekeling
info,player,United Arab Emirates,ER Oza
info,player,United Arab Emirates,Theertha Satish
info,player,United Arab Emirates,Khushi Sharma
info,player,United Arab Emirates,KKN Egodage
info,player,United Arab Emirates,H Hotchandani
info,player,United Arab Emirates,S Dharnidharka
info,player,United Arab Emirates,Rinitha Rajith
info,player,United Arab Emirates,L Keny
info,player,United Arab Emirates,Vaishnave Mahesh
info,player,United Arab Emirates,S Gokhale
info,player,United Arab Emirates,I Nandakumar
info,registry,people,B de Leede,b3020075
info,registry,people,C de Lange,c6a019f5
info,registry,people,EN Lynch,4d35d0b3
info,registry,people,ER Oza,fdc6b34d
info,registry,people,F Overdijk,022745d5
info,registry,people,GS Lakshmi,ba8d5615
info,registry,people,Gazi Sohel,f0df3ed7
info,registry,people,H Hotchandani,f537d39c
info,registry,people,HDJ Siegers,6d48df01
info,registry,people,HWA Landheer,a6ec88f4
info,registry,people,I Nandakumar,9f87d0f0
info,registry,people,IJR Zwilling,47b32a5a
info,registry,people,K Klaaste,6cc1d918
info,registry,people,KKN Egodage,5bb904d4
info,registry,people,Khushi Sharma,a259c414
info,registry,people,L Keny,aea89d48
info,registry,people,MM Dekeling,983a0c34
info,registry,people,R Rijke,42e4b276
info,registry,people,Rinitha Rajith,36ba7f0b
info,registry,people,S Dharnidharka,f8b50da3
info,registry,people,S Gokhale,62653085
info,registry,people,S Siegers,9a58f2c8
info,registry,people,SL Kalis,2b150c6b
info,registry,people,Shivani Mishra,2982a0c7
info,registry,people,Theertha Satish,ee3dcb3f
info,registry,people,Vaishnave Mahesh,31c56f40
