version,2.2.0
info,balls_per_over,6
info,team,Seychelles
info,team,Kenya
info,gender,male
info,season,2022/23
info,date,2022/11/25
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier
info,match_number,27
info,venue,Gahanga International Cricket Stadium. Rwanda
info,city,Kigali City
info,toss_winner,Seychelles
info,toss_decision,bat
info,player_of_match,P Koech
info,umpire,BM White
info,umpire,John Mayeku
info,reserve_umpire,D Odhiambo
info,match_referee,S Wadvalla
info,winner,Kenya
info,winner_wickets,7
info,method,D/L
info,player,Seychelles,Mazharul Islam
info,player,Seychelles,TKP Rajapaksha
info,player,Seychelles,SKDT Madusanka
info,player,Seychelles,STRA de Silva
info,player,Seychelles,VL Mukesh
info,player,Seychelles,S Udhayan
info,player,Seychelles,P Abhijit
info,player,Seychelles,SR Rocket
info,player,Seychelles,HL Harji
info,player,Seychelles,N Krishna
info,player,Seychelles,S Rukmal
info,player,Kenya,P Sharma
info,player,Kenya,S Singh
info,player,Kenya,Tanzeel Sheikh
info,player,Kenya,IA Karim
info,player,Kenya,RN Patel
info,player,Kenya,RR Patel
info,player,Kenya,Vraj Patel
info,player,Kenya,EB Ringera
info,player,Kenya,LN Oluoch
info,player,Kenya,SO Ngoche
info,player,Kenya,P Koech
info,registry,people,BM White,66c21d35
info,registry,people,D Odhiambo,45994517
info,registry,people,EB Ringera,6cedad99
info,registry,people,HL Harji,29663fda
info,registry,people,IA Karim,ca92a578
info,registry,people,John Mayeku,9d819a32
info,registry,people,LN Oluoch,eb4f9c61
info,registry,people,Mazharul Islam,30564b3e
info,registry,people,N Krishna,c62a0327
info,registry,people,P Abhijit,bc0083f7
info,registry,people,P Koech,f4a0a615
info,registry,people,P Sharma,d047f983
info,registry,people,RN Patel,db1bf9c2
info,registry,people,RR Patel,7fa6bd8e
info,registry,people,S Rukmal,f5be7b08
info,registry,people,S Singh,612a395c
info,registry,people,S Udhayan,a8d6305d
info,registry,people,S Wadvalla,c1a1acf3
info,registry,people,SKDT Madusanka,95c2d309
info,registry,people,SO Ngoche,49118dc7
info,registry,people,SR Rocket,ee3bfb9b
info,registry,people,STRA de Silva,21fe743b
info,registry,people,TKP Rajapaksha,b5dcec37
info,registry,people,Tanzeel Sheikh,5493ad5c
info,registry,people,VL Mukesh,44744467
info,registry,people,Vraj Patel,2af28253
