version,2.2.0
info,balls_per_over,6
info,team,France
info,team,Malta
info,gender,male
info,season,2023
info,date,2023/07/16
info,event,Valletta Cup
info,venue,Marsa Sports Club
info,city,Marsa
info,toss_winner,France
info,toss_decision,bat
info,player_of_match,Waqas Ahmad
info,umpire,S Harnal
info,umpire,S Fernando
info,reserve_umpire,V Sridhar
info,match_referee,Vinay Malhotra
info,winner,Malta
info,winner_wickets,7
info,player,France,Zain Ahmad
info,player,France,HA Jackson
info,player,France,Mukhtar Ghulami
info,player,France,Dawood Ahmadzai
info,player,France,L Canessane
info,player,France,Usman Khan
info,player,France,Noman Amjad
info,player,France,P Pirabakaran
info,player,France,Ibrahim Jabarkhel
info,player,France,Rahmatullah Mangal
info,player,France,R Mangal
info,player,Malta,Zeeshan Khan
info,player,Malta,Fanyan Mughal
info,player,Malta,G Thakur
info,player,Malta,B Arora
info,player,Malta,Jaspal Singh
info,player,Malta,DR Patankar
info,player,Malta,Waqas Ahmad
info,player,Malta,E Mathew
info,player,Malta,C Sudarsanan
info,player,Malta,VP Thamotharam
info,player,Malta,Washeem Abbas
info,registry,people,B Arora,39e9f0c9
info,registry,people,C Sudarsanan,391a825b
info,registry,people,DR Patankar,e661915c
info,registry,people,Dawood Ahmadzai,951686f5
info,registry,people,E Mathew,e00acf74
info,registry,people,Fanyan Mughal,e85bb4b3
info,registry,people,G Thakur,93720584
info,registry,people,HA Jackson,ee40679e
info,registry,people,Ibrahim Jabarkhel,c311564c
info,registry,people,Jaspal Singh,adca37a2
info,registry,people,L Canessane,72a4c3b2
info,registry,people,Mukhtar Ghulami,d3b1d991
info,registry,people,Noman Amjad,c079c66a
info,registry,people,P Pirabakaran,5ab659d9
info,registry,people,R Mangal,5360c9be
info,registry,people,Rahmatullah Mangal,ec106638
info,registry,people,S Fernando,bbeb5b15
info,registry,people,S Harnal,756fe781
info,registry,people,Usman Khan,e8a552ef
info,registry,people,V Sridhar,42314166
info,registry,people,VP Thamotharam,eb40ed89
info,registry,people,Vinay Malhotra,452837d1
info,registry,people,Waqas Ahmad,82623a3a
info,registry,people,Washeem Abbas,6de4e430
info,registry,people,Zain Ahmad,ea2c0aff
info,registry,people,Zeeshan Khan,3f9b1a96
