version,2.2.0
info,balls_per_over,6
info,team,India
info,team,South Africa
info,gender,male
info,season,2022/23
info,date,2022/10/30
info,event,ICC Men's T20 World Cup
info,match_number,30
info,venue,Perth Stadium
info,city,Perth
info,toss_winner,India
info,toss_decision,bat
info,player_of_match,L Ngidi
info,umpire,L Rusere
info,umpire,RA Kettleborough
info,reserve_umpire,PR Reiffel
info,tv_umpire,RK Illingworth
info,match_referee,DC Boon
info,winner,South Africa
info,winner_wickets,5
info,player,India,KL Rahul
info,player,India,RG Sharma
info,player,India,V Kohli
info,player,India,SA Yadav
info,player,India,DJ Hooda
info,player,India,HH Pandya
info,player,India,KD Karthik
info,player,India,R Ashwin
info,player,India,B Kumar
info,player,India,Mohammed Shami
info,player,India,Arshdeep Singh
info,player,South Africa,Q de Kock
info,player,South Africa,T Bavuma
info,player,South Africa,RR Rossouw
info,player,South Africa,AK Markram
info,player,South Africa,DA Miller
info,player,South Africa,T Stubbs
info,player,South Africa,WD Parnell
info,player,South Africa,KA Maharaj
info,player,South Africa,K Rabada
info,player,South Africa,A Nortje
info,player,South Africa,L Ngidi
info,registry,people,A Nortje,acdc62f5
info,registry,people,AK Markram,6a26221c
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,B Kumar,2e81a32d
info,registry,people,DA Miller,d67d5f00
info,registry,people,DC Boon,e79a1fe3
info,registry,people,DJ Hooda,73ad96ed
info,registry,people,HH Pandya,dbe50b21
info,registry,people,K Rabada,e62dd25d
info,registry,people,KA Maharaj,0b60eb09
info,registry,people,KD Karthik,c03f1114
info,registry,people,KL Rahul,b17e2f24
info,registry,people,L Ngidi,f834dcfc
info,registry,people,L Rusere,6a4734ae
info,registry,people,Mohammed Shami,8cf9814c
info,registry,people,PR Reiffel,c9354f29
info,registry,people,Q de Kock,372455c4
info,registry,people,R Ashwin,495d42a5
info,registry,people,RA Kettleborough,4017868f
info,registry,people,RG Sharma,740742ef
info,registry,people,RK Illingworth,20672246
info,registry,people,RR Rossouw,cad00a4d
info,registry,people,SA Yadav,271f83cd
info,registry,people,T Bavuma,9ffd1ac1
info,registry,people,T Stubbs,85b3fab2
info,registry,people,V Kohli,ba607b88
info,registry,people,WD Parnell,3a60e0b5
