version,2.2.0
info,balls_per_over,6
info,team,England
info,team,Namibia
info,gender,male
info,season,2024
info,date,2024/06/15
info,event,ICC Men's T20 World Cup
info,match_number,34
info,venue,"Sir Vivian Richards Stadium, North Sound, Antigua"
info,city,North Sound
info,toss_winner,Namibia
info,toss_decision,field
info,player_of_match,HC Brook
info,umpire,AT Holdstock
info,umpire,L Rusere
info,reserve_umpire,Nitin Menon
info,tv_umpire,Rashid Riaz
info,match_referee,RS Madugalle
info,winner,England
info,winner_runs,41
info,method,D/L
info,player,England,PD Salt
info,player,England,JC Buttler
info,player,England,JM Bairstow
info,player,England,HC Brook
info,player,England,MM Ali
info,player,England,LS Livingstone
info,player,England,SM Curran
info,player,England,JC Archer
info,player,England,AU Rashid
info,player,England,CJ Jordan
info,player,England,RJW Topley
info,player,Namibia,M van Lingen
info,player,Namibia,N Davin
info,player,Namibia,D Wiese
info,player,Namibia,MG Erasmus
info,player,Namibia,JJ Smit
info,player,Namibia,JN Frylinck
info,player,Namibia,ZE Green
info,player,Namibia,R Trumpelmann
info,player,Namibia,BM Scholtz
info,player,Namibia,JT Brassell
info,player,Namibia,JP Kotze
info,registry,people,AT Holdstock,6fa3258c
info,registry,people,AU Rashid,249d60c9
info,registry,people,BM Scholtz,e85d03d6
info,registry,people,CJ Jordan,ffe699c0
info,registry,people,D Wiese,aa8d28ae
info,registry,people,HC Brook,4ae1755b
info,registry,people,JC Archer,5574750c
info,registry,people,JC Buttler,99b75528
info,registry,people,JJ Smit,bb134e5c
info,registry,people,JM Bairstow,abb83e27
info,registry,people,JN Frylinck,3c87f0c3
info,registry,people,JP Kotze,9f308dfc
info,registry,people,JT Brassell,537021f5
info,registry,people,L Rusere,6a4734ae
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,M van Lingen,7eb36269
info,registry,people,MG Erasmus,95a5e066
info,registry,people,MM Ali,bb351c23
info,registry,people,N Davin,72e361fe
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,PD Salt,3d284ca3
info,registry,people,R Trumpelmann,ff6a7ab5
info,registry,people,RJW Topley,8db7f47f
info,registry,people,RS Madugalle,766b5798
info,registry,people,Rashid Riaz,fb82725e
info,registry,people,SM Curran,e94915e6
info,registry,people,ZE Green,8716233e
