version,2.2.0
info,balls_per_over,6
info,team,Guernsey
info,team,Jersey
info,gender,male
info,season,2024
info,date,2024/06/22
info,event,Jersey tour of Guernsey
info,match_number,1
info,venue,"King George V Sports Ground, Castel"
info,city,Castel
info,toss_winner,Jersey
info,toss_decision,field
info,player_of_match,NA Greenwood
info,umpire,J Vosser
info,umpire,RJ Veillard
info,reserve_umpire,M Tolcher
info,winner,Jersey
info,winner_wickets,7
info,player,Guernsey,B Fitchet
info,player,Guernsey,A Martel
info,player,Guernsey,T Nightingale
info,player,Guernsey,MWR Stokes
info,player,Guernsey,IDA Damarell
info,player,Guernsey,OB Nightingale
info,player,Guernsey,M Dale-Bradley
info,player,Guernsey,LB Ferbrache
info,player,Guernsey,C Forshaw
info,player,Guernsey,LT Bichard
info,player,Guernsey,Harry Johnson
info,player,Jersey,H Carlyon
info,player,Jersey,NA Greenwood
info,player,Jersey,JW Jenner
info,player,Jersey,ZM Tribe
info,player,Jersey,C Brennan
info,player,Jersey,J Kemp
info,player,Jersey,J Sumerauer
info,player,Jersey,JAD Lawrenson
info,player,Jersey,CW Perchard
info,player,Jersey,B Ward
info,player,Jersey,D Birrell
info,registry,people,A Martel,65cd62a9
info,registry,people,B Fitchet,d77ecd14
info,registry,people,B Ward,9e0bd203
info,registry,people,C Brennan,80f9fd4f
info,registry,people,C Forshaw,0ed66ce6
info,registry,people,CW Perchard,9f998ed8
info,registry,people,D Birrell,aea11d1d
info,registry,people,H Carlyon,42bf1b7d
info,registry,people,Harry Johnson,80b92515
info,registry,people,IDA Damarell,580ae7f2
info,registry,people,J Kemp,0ab42b8d
info,registry,people,J Sumerauer,0b581ed6
info,registry,people,J Vosser,d1b1eba7
info,registry,people,JAD Lawrenson,c810b349
info,registry,people,JW Jenner,32a8161e
info,registry,people,LB Ferbrache,0f72f582
info,registry,people,LT Bichard,dfcdb11e
info,registry,people,M Dale-Bradley,62b2aa65
info,registry,people,M Tolcher,be6a4ccb
info,registry,people,MWR Stokes,c573d173
info,registry,people,NA Greenwood,7ca68967
info,registry,people,OB Nightingale,1deb4c0c
info,registry,people,Oliver Clapham,b445f2fc
info,registry,people,RJ Veillard,0a8ebf05
info,registry,people,T Nightingale,51a125b3
info,registry,people,ZM Tribe,96fe3e9f
