version,2.2.0
info,balls_per_over,6
info,team,Croatia
info,team,Spain
info,gender,male
info,season,2024
info,date,2024/08/03
info,event,Spain tour of Croatia
info,match_number,2
info,venue,"Mladost Cricket Ground, Zagreb"
info,city,Zagreb
info,toss_winner,Spain
info,toss_decision,field
info,player_of_match,Atif Mehmood
info,winner,Spain
info,winner_wickets,6
info,player,Croatia,J Danikula
info,player,Croatia,A Shukla
info,player,Croatia,Saghar Manzoor
info,player,Croatia,H Satheedevi
info,player,Croatia,S Houghton
info,player,Croatia,A Maheshwari
info,player,Croatia,A Magdalenic
info,player,Croatia,V Pulibanti
info,player,Croatia,P Bosnjak
info,player,Croatia,V Zanko
info,player,Croatia,K Kekez
info,player,Spain,D Doyle-Calle
info,player,Spain,Shafat Ali Syed
info,player,Spain,Mohammad Ihsan
info,player,Spain,A Davidson Soler
info,player,Spain,SJ Hughes-Pinan
info,player,Spain,Hamza Dar
info,player,Spain,C Munoz-Mills
info,player,Spain,LA Burns
info,player,Spain,Atif Mehmood
info,player,Spain,Yasir Ali
info,player,Spain,Raja Adeel
info,registry,people,A Davidson Soler,524943f1
info,registry,people,A Magdalenic,d6a2f3a5
info,registry,people,A Maheshwari,3ec513ea
info,registry,people,A Shukla,c594137f
info,registry,people,Atif Mehmood,7fcc57bf
info,registry,people,C Munoz-Mills,17bc032c
info,registry,people,D Doyle-Calle,74be2916
info,registry,people,H Satheedevi,a17a9548
info,registry,people,Hamza Dar,557550a4
info,registry,people,J Danikula,98e4af63
info,registry,people,K Kekez,fe11e1a3
info,registry,people,LA Burns,5b616bf0
info,registry,people,Mohammad Ihsan,510e33d3
info,registry,people,P Bosnjak,fed92736
info,registry,people,Raja Adeel,7ee25c46
info,registry,people,S Houghton,4895df9e
info,registry,people,SJ Hughes-Pinan,ca72ea31
info,registry,people,Saghar Manzoor,9d103769
info,registry,people,Shafat Ali Syed,6d36cb93
info,registry,people,V Pulibanti,ac02a458
info,registry,people,V Zanko,4a78f962
info,registry,people,Yasir Ali,79209272
