version,2.2.0
info,balls_per_over,6
info,team,Zimbabwe
info,team,Papua New Guinea
info,gender,female
info,season,2023/24
info,date,2024/03/31
info,event,Papua New Guinea Women tour of Zimbabwe
info,match_number,2
info,venue,Harare Sports Club
info,city,Harare
info,toss_winner,Papua New Guinea
info,toss_decision,field
info,player_of_match,P Siaka
info,umpire,I Chabi
info,umpire,S Dambanevana
info,reserve_umpire,F Mutizwa
info,match_referee,O Chirombe
info,outcome,tie
info,eliminator,Papua New Guinea
info,player,Zimbabwe,K Ndlovu
info,player,Zimbabwe,M Mupachikwa
info,player,Zimbabwe,P Mujaji
info,player,Zimbabwe,M Musonda
info,player,Zimbabwe,J Nkomo
info,player,Zimbabwe,CT Dhururu
info,player,Zimbabwe,P Marange
info,player,Zimbabwe,L Tshuma
info,player,Zimbabwe,L Phiri
info,player,Zimbabwe,F Chipare
info,player,Zimbabwe,N Sibanda
info,player,Papua New Guinea,S Jimmy
info,player,Papua New Guinea,N Vare
info,player,Papua New Guinea,T Ruma
info,player,Papua New Guinea,B Tau
info,player,Papua New Guinea,P Siaka
info,player,Papua New Guinea,K Frank
info,player,Papua New Guinea,I Toua
info,player,Papua New Guinea,HJ Thomas
info,player,Papua New Guinea,V Araa
info,player,Papua New Guinea,GP Tom
info,player,Papua New Guinea,D Lohia
info,registry,people,B Tau,3a6cbb8e
info,registry,people,CT Dhururu,8d7fba79
info,registry,people,D Lohia,01341439
info,registry,people,F Chipare,c0dc015b
info,registry,people,F Mutizwa,d3e83eef
info,registry,people,GP Tom,88bcd09d
info,registry,people,HJ Thomas,a3034d3d
info,registry,people,I Chabi,5e39110e
info,registry,people,I Toua,83cde44d
info,registry,people,J Nkomo,36dfa62e
info,registry,people,K Frank,f7e96532
info,registry,people,K Ndlovu,8d25271a
info,registry,people,L Phiri,cca8bdca
info,registry,people,L Tshuma,f281dd00
info,registry,people,M Mupachikwa,6657b319
info,registry,people,M Musonda,94b52754
info,registry,people,N Sibanda,edf62a25
info,registry,people,N Vare,20ace887
info,registry,people,O Chirombe,6345307f
info,registry,people,P Marange,a4f1fdd4
info,registry,people,P Mujaji,a246f48f
info,registry,people,P Siaka,595433d2
info,registry,people,S Dambanevana,039923bd
info,registry,people,S Jimmy,2daa8e40
info,registry,people,T Ruma,3697a0ff
info,registry,people,V Araa,040f11e8
