version,2.2.0
info,balls_per_over,6
info,team,Estonia
info,team,Guernsey
info,gender,male
info,season,2024
info,date,2024/08/25
info,event,ICC Men's T20 World Cup Sub Regional Europe Qualifier Group C
info,match_number,15
info,venue,"King George V Sports Ground, Castel"
info,city,Castel
info,toss_winner,Guernsey
info,toss_decision,field
info,player_of_match,Harry Johnson
info,umpire,AY Harris
info,umpire,AA Baig
info,reserve_umpire,RJ Veillard
info,match_referee,GH Pienaar
info,winner,Guernsey
info,winner_wickets,5
info,player,Estonia,Arslan Amjad
info,player,Estonia,S Gooch
info,player,Estonia,Ali Masood
info,player,Estonia,Bilal Masud
info,player,Estonia,Habib Khan
info,player,Estonia,Sahil Chauhan
info,player,Estonia,D Robson
info,player,Estonia,S Hook
info,player,Estonia,P Gheewala
info,player,Estonia,M Vaik
info,player,Estonia,A Paul
info,player,Guernsey,J Butler
info,player,Guernsey,B Fitchet
info,player,Guernsey,T Nightingale
info,player,Guernsey,MWR Stokes
info,player,Guernsey,IDA Damarell
info,player,Guernsey,OB Nightingale
info,player,Guernsey,LT Bichard
info,player,Guernsey,A Martel
info,player,Guernsey,M Dale-Bradley
info,player,Guernsey,C Forshaw
info,player,Guernsey,Harry Johnson
info,registry,people,A Martel,65cd62a9
info,registry,people,A Paul,fa308279
info,registry,people,AA Baig,5c67c7a6
info,registry,people,AY Harris,90d95b82
info,registry,people,Ali Masood,a138f597
info,registry,people,Arslan Amjad,c228c52d
info,registry,people,B Fitchet,d77ecd14
info,registry,people,Bilal Masud,643e4882
info,registry,people,C Forshaw,0ed66ce6
info,registry,people,D Robson,fa39ad19
info,registry,people,GH Pienaar,3516e46b
info,registry,people,Habib Khan,5152ab02
info,registry,people,Harry Johnson,80b92515
info,registry,people,IDA Damarell,580ae7f2
info,registry,people,J Butler,efcb778e
info,registry,people,LT Bichard,dfcdb11e
info,registry,people,M Dale-Bradley,62b2aa65
info,registry,people,M Vaik,5335c5a7
info,registry,people,MWR Stokes,c573d173
info,registry,people,OB Nightingale,1deb4c0c
info,registry,people,P Gheewala,3b22ee4e
info,registry,people,RJ Veillard,0a8ebf05
info,registry,people,S Gooch,622be0d9
info,registry,people,S Hook,eba871dd
info,registry,people,Sahil Chauhan,f219df21
info,registry,people,T Nightingale,51a125b3
