version,2.2.0
info,balls_per_over,6
info,team,Namibia
info,team,Uganda
info,gender,female
info,season,2023/24
info,date,2023/12/12
info,event,ICC Women's T20 World Cup Africa Region Qualifier
info,match_number,8
info,venue,Entebbe Cricket Oval
info,city,Entebbe
info,toss_winner,Uganda
info,toss_decision,field
info,player_of_match,C Aweko
info,umpire,Habib Enesi
info,umpire,S Dambanevana
info,reserve_umpire,LDVV Silva
info,match_referee,O Chirombe
info,winner,Uganda
info,winner_wickets,4
info,player,Namibia,SA Wittmann
info,player,Namibia,Yasmeen Khan
info,player,Namibia,JA Diergaardt
info,player,Namibia,M Gorases
info,player,Namibia,I van Zyl
info,player,Namibia,SN Shihepo
info,player,Namibia,KA Green
info,player,Namibia,E Van Zyl
info,player,Namibia,M Mwatile
info,player,Namibia,N Benjamin
info,player,Namibia,V Hamunyela
info,player,Uganda,K Awino
info,player,Uganda,P Alako
info,player,Uganda,J Mbabazi
info,player,Uganda,S Nampiina
info,player,Uganda,R Musamali
info,player,Uganda,I Nakisuuyi
info,player,Uganda,M Ariokot
info,player,Uganda,C Aweko
info,player,Uganda,E Anyipo
info,player,Uganda,L Anyait
info,player,Uganda,I Alumo
info,registry,people,C Aweko,01c1b96c
info,registry,people,E Anyipo,d9e5ecb4
info,registry,people,E Van Zyl,79ff52b5
info,registry,people,Habib Enesi,fb35ab1f
info,registry,people,I Alumo,6edd8b10
info,registry,people,I Nakisuuyi,2f145a4f
info,registry,people,I van Zyl,44c3cb6d
info,registry,people,J Mbabazi,aaa6e84c
info,registry,people,JA Diergaardt,b72a8938
info,registry,people,K Awino,c4e7749a
info,registry,people,KA Green,fa9fdefa
info,registry,people,L Anyait,cffeef53
info,registry,people,LDVV Silva,6e226c31
info,registry,people,M Ariokot,c328bc6c
info,registry,people,M Gorases,d034d60a
info,registry,people,M Mwatile,92b9e9af
info,registry,people,N Benjamin,58317766
info,registry,people,O Chirombe,6345307f
info,registry,people,P Alako,fcf37e14
info,registry,people,R Musamali,017cadb2
info,registry,people,S Dambanevana,039923bd
info,registry,people,S Nampiina,91d9aa26
info,registry,people,SA Wittmann,531aef3b
info,registry,people,SN Shihepo,1b3f7dbb
info,registry,people,V Hamunyela,d758a366
info,registry,people,Yasmeen Khan,ade5c0c0
