version,2.2.0
info,balls_per_over,6
info,team,United Arab Emirates
info,team,Malaysia
info,gender,female
info,season,2023/24
info,date,2024/02/18
info,event,Asian Cricket Council Women's Premier Cup
info,venue,"Bayuemas Oval, Kuala Lumpur"
info,city,Kuala Lumpur
info,toss_winner,United Arab Emirates
info,toss_decision,bat
info,player_of_match,ER Oza
info,umpire,Gayathri Venugopal
info,umpire,N Perera
info,tv_umpire,Saleema Imtiaz
info,winner,United Arab Emirates
info,winner_runs,37
info,player,United Arab Emirates,ER Oza
info,player,United Arab Emirates,KKN Egodage
info,player,United Arab Emirates,Khushi Sharma
info,player,United Arab Emirates,Theertha Satish
info,player,United Arab Emirates,H Hotchandani
info,player,United Arab Emirates,S Dharnidharka
info,player,United Arab Emirates,S Gokhale
info,player,United Arab Emirates,S Kotte
info,player,United Arab Emirates,Vaishnave Mahesh
info,player,United Arab Emirates,Rinitha Rajith
info,player,United Arab Emirates,Mehak Thakur
info,player,Malaysia,Wan Julia
info,player,Malaysia,WA Duraisingam
info,player,Malaysia,Siow Tzin Yee
info,player,Malaysia,Ainna Hamizah Hashim
info,player,Malaysia,Mas Elysa
info,player,Malaysia,Mahirah Izzati Ismail
info,player,Malaysia,Aina Najwa
info,player,Malaysia,SM Dhanusri
info,player,Malaysia,Nur Dania Syuhada
info,player,Malaysia,Aisya Eleesa
info,player,Malaysia,Nur Aishah
info,registry,people,Aina Najwa,31453abb
info,registry,people,Ainna Hamizah Hashim,4c7744de
info,registry,people,Aisya Eleesa,2cd18a73
info,registry,people,ER Oza,fdc6b34d
info,registry,people,Gayathri Venugopal,20e3ae99
info,registry,people,H Hotchandani,f537d39c
info,registry,people,KKN Egodage,5bb904d4
info,registry,people,Khushi Sharma,a259c414
info,registry,people,Mahirah Izzati Ismail,b9b32e3c
info,registry,people,Mas Elysa,857de42e
info,registry,people,Mehak Thakur,cf712c6d
info,registry,people,N Perera,129709f9
info,registry,people,Nur Aishah,f7301b56
info,registry,people,Nur Dania Syuhada,3af75717
info,registry,people,Rinitha Rajith,36ba7f0b
info,registry,people,S Dharnidharka,f8b50da3
info,registry,people,S Gokhale,62653085
info,registry,people,S Kotte,6c8904c8
info,registry,people,SM Dhanusri,4e4d2c20
info,registry,people,Saleema Imtiaz,d17d21d5
info,registry,people,Siow Tzin Yee,686b7194
info,registry,people,Theertha Satish,ee3dcb3f
info,registry,people,Vaishnave Mahesh,31c56f40
info,registry,people,WA Duraisingam,7467fe01
info,registry,people,Wan Julia,bee0c85c
