version,2.2.0
info,balls_per_over,6
info,team,India
info,team,Pakistan
info,gender,male
info,season,2024
info,date,2024/06/09
info,event,ICC Men's T20 World Cup
info,match_number,19
info,venue,"Nassau County International Cricket Stadium, New York"
info,city,New York
info,toss_winner,Pakistan
info,toss_decision,field
info,player_of_match,JJ Bumrah
info,umpire,RK Illingworth
info,umpire,RJ Tucker
info,reserve_umpire,Sharfuddoula
info,tv_umpire,CB Gaffaney
info,match_referee,DC Boon
info,winner,India
info,winner_runs,6
info,player,India,RG Sharma
info,player,India,V Kohli
info,player,India,RR Pant
info,player,India,AR Patel
info,player,India,SA Yadav
info,player,India,S Dube
info,player,India,HH Pandya
info,player,India,RA Jadeja
info,player,India,Arshdeep Singh
info,player,India,JJ Bumrah
info,player,India,Mohammed Siraj
info,player,Pakistan,Mohammad Rizwan
info,player,Pakistan,Babar Azam
info,player,Pakistan,Usman Khan
info,player,Pakistan,Fakhar Zaman
info,player,Pakistan,Imad Wasim
info,player,Pakistan,Shadab Khan
info,player,Pakistan,Iftikhar Ahmed
info,player,Pakistan,Shaheen Shah Afridi
info,player,Pakistan,Naseem Shah
info,player,Pakistan,Mohammad Amir
info,player,Pakistan,Haris Rauf
info,registry,people,AR Patel,2e171977
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,Babar Azam,8a75e999
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,DC Boon,e79a1fe3
info,registry,people,Fakhar Zaman,1777c020
info,registry,people,HH Pandya,dbe50b21
info,registry,people,Haris Rauf,24bb1c2f
info,registry,people,Iftikhar Ahmed,29e253dd
info,registry,people,Imad Wasim,9cb8d7a6
info,registry,people,JJ Bumrah,462411b3
info,registry,people,Mohammad Amir,e174dadd
info,registry,people,Mohammad Rizwan,2f26ac1a
info,registry,people,Mohammed Siraj,2f49c897
info,registry,people,Naseem Shah,9c9af282
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RG Sharma,740742ef
info,registry,people,RJ Tucker,38810cfc
info,registry,people,RK Illingworth,20672246
info,registry,people,RR Pant,919a3be2
info,registry,people,S Dube,a4e37e47
info,registry,people,SA Yadav,271f83cd
info,registry,people,Shadab Khan,9de62878
info,registry,people,Shaheen Shah Afridi,45a7e761
info,registry,people,Sharfuddoula,63896abb
info,registry,people,Usman Khan,bafb9238
info,registry,people,V Kohli,ba607b88
