version,2.2.0
info,balls_per_over,6
info,team,Tanzania
info,team,Rwanda
info,gender,male
info,season,2023
info,date,2023/08/27
info,event,East Africa Cup
info,match_number,11
info,venue,"Gahanga International Cricket Stadium, Rwanda"
info,city,Kigali City
info,toss_winner,Rwanda
info,toss_decision,field
info,player_of_match,SA Jumbe
info,umpire,Maryyam Sheikh
info,umpire,Vicky Prajapati
info,reserve_umpire,Gaston Niyibizi
info,winner,Tanzania
info,winner_runs,9
info,player,Tanzania,AR Patwa
info,player,Tanzania,II Selemani
info,player,Tanzania,AP Rajeevan
info,player,Tanzania,S Thakor
info,player,Tanzania,K Nassoro
info,player,Tanzania,MO Kitunda
info,player,Tanzania,M Yunusu Issa
info,player,Tanzania,AM Kimote
info,player,Tanzania,SA Jumbe
info,player,Tanzania,YM Nkanya
info,player,Tanzania,JJ Nyambo
info,player,Rwanda,E Dusingizimana
info,player,Rwanda,K Irakoze
info,player,Rwanda,W Niyitanga
info,player,Rwanda,O Tuyisenge
info,player,Rwanda,C Rububagumya
info,player,Rwanda,O Manishimwe
info,player,Rwanda,M Akayezu
info,player,Rwanda,E Sebareme
info,player,Rwanda,Z Bimenyimana
info,player,Rwanda,E Rukiriza
info,player,Rwanda,E Kubwimana
info,registry,people,AM Kimote,34e36b65
info,registry,people,AP Rajeevan,63d6f031
info,registry,people,AR Patwa,b43f7a6a
info,registry,people,C Rububagumya,8088632c
info,registry,people,E Dusingizimana,c15e7ba4
info,registry,people,E Kubwimana,bfc7799f
info,registry,people,E Rukiriza,3ac13a94
info,registry,people,E Sebareme,f99a219a
info,registry,people,Gaston Niyibizi,eb99c84c
info,registry,people,II Selemani,b2dadc51
info,registry,people,JJ Nyambo,ffb3b559
info,registry,people,K Irakoze,9ccb6e52
info,registry,people,K Nassoro,29ee9bf9
info,registry,people,M Akayezu,1f3b9f8d
info,registry,people,M Yunusu Issa,bbab35a3
info,registry,people,MO Kitunda,badef0dc
info,registry,people,Maryyam Sheikh,4ae530cf
info,registry,people,O Manishimwe,fb31ca49
info,registry,people,O Tuyisenge,e6a6888f
info,registry,people,S Thakor,0848ac5f
info,registry,people,SA Jumbe,91056862
info,registry,people,Vicky Prajapati,8926ed4e
info,registry,people,W Niyitanga,e7631adc
info,registry,people,YM Nkanya,9238dd92
info,registry,people,Z Bimenyimana,ba57fb08
