version,2.2.0
info,balls_per_over,6
info,team,India
info,team,West Indies
info,gender,female
info,season,2022/23
info,date,2023/01/23
info,event,South Africa Women's T20I Tri-Series
info,match_number,3
info,venue,"Buffalo Park, East London"
info,city,East London
info,toss_winner,India
info,toss_decision,bat
info,player_of_match,S Mandhana
info,umpire,Lauren Agenbag
info,umpire,PJ Vosloo
info,reserve_umpire,TC Mokorosi
info,match_referee,SA Fritz
info,winner,India
info,winner_runs,56
info,player,India,YH Bhatia
info,player,India,S Mandhana
info,player,India,H Deol
info,player,India,H Kaur
info,player,India,JI Rodrigues
info,player,India,DP Vaidya
info,player,India,DB Sharma
info,player,India,AB Kaur
info,player,India,RP Yadav
info,player,India,S Pandey
info,player,India,RS Gayakwad
info,player,West Indies,RS Williams
info,player,West Indies,B Cooper
info,player,West Indies,SA Campbelle
info,player,West Indies,S Gajnabi
info,player,West Indies,HK Matthews
info,player,West Indies,ASS Fletcher
info,player,West Indies,SJ Bruce
info,player,West Indies,SS Connell
info,player,West Indies,K Ramharack
info,player,West Indies,CN Nation
info,player,West Indies,K Schultz
info,registry,people,AB Kaur,9565fda6
info,registry,people,ASS Fletcher,42d9dd09
info,registry,people,B Cooper,ac0edb42
info,registry,people,CN Nation,639000b6
info,registry,people,DB Sharma,201fef33
info,registry,people,DP Vaidya,f9ded29b
info,registry,people,H Deol,3664712e
info,registry,people,H Kaur,53cd8da6
info,registry,people,HK Matthews,d32cf49a
info,registry,people,JI Rodrigues,cb08b611
info,registry,people,K Ramharack,321c980e
info,registry,people,K Schultz,6900060d
info,registry,people,Lauren Agenbag,40849abd
info,registry,people,PJ Vosloo,93a6d2d0
info,registry,people,RP Yadav,6c3aef71
info,registry,people,RS Gayakwad,237ec05b
info,registry,people,RS Williams,406de451
info,registry,people,S Gajnabi,c35739a1
info,registry,people,S Mandhana,5d2eda89
info,registry,people,S Pandey,5463cb7a
info,registry,people,SA Campbelle,a7cd72b2
info,registry,people,SA Fritz,d15e60c8
info,registry,people,SJ Bruce,aeccf5cc
info,registry,people,SS Connell,2f9a6bd1
info,registry,people,TC Mokorosi,e93c3cf8
info,registry,people,YH Bhatia,9c3d4e8a
