version,2.2.0
info,balls_per_over,6
info,team,Mongolia
info,team,Malaysia
info,gender,male
info,season,2024
info,date,2024/09/09
info,event,ICC Men's T20 World Cup Asia Qualifier A
info,match_number,20
info,venue,"YSD-UKM Cricket Oval, Bangi"
info,city,Bangi
info,toss_winner,Malaysia
info,toss_decision,field
info,player_of_match,Virandeep Singh
info,umpire,BB Pradhan
info,umpire,Shiju Sam
info,match_referee,V Narayan Kutty
info,winner,Malaysia
info,winner_wickets,10
info,player,Mongolia,M Vivekanandan
info,player,Mongolia,N Naranbaatar
info,player,Mongolia,G Ganbold
info,player,Mongolia,L Erdenebulgan
info,player,Mongolia,S Gantulga
info,player,Mongolia,D Jamyansuren
info,player,Mongolia,B Namsrai
info,player,Mongolia,T Amarmend
info,player,Mongolia,O Lutbayar
info,player,Mongolia,Z Shurentsetseg
info,player,Mongolia,E Batkhuyag
info,player,Malaysia,Syed Aziz
info,player,Malaysia,Zubaidi Zulkifle
info,player,Malaysia,Muhammad Amir
info,player,Malaysia,Virandeep Singh
info,player,Malaysia,S Muniandy
info,player,Malaysia,S Vijay Unni
info,player,Malaysia,Ainool Hafizs
info,player,Malaysia,Rizwan Haider
info,player,Malaysia,Pavandeep Singh
info,player,Malaysia,Rajkumar Rajendran
info,player,Malaysia,Azri Azhar
info,registry,people,Ainool Hafizs,1bada9da
info,registry,people,Azri Azhar,23f37c09
info,registry,people,B Namsrai,1d8a3ca6
info,registry,people,BB Pradhan,8603d942
info,registry,people,D Jamyansuren,6ad7d184
info,registry,people,E Batkhuyag,1c366af1
info,registry,people,G Ganbold,947346d8
info,registry,people,L Erdenebulgan,c4f8d754
info,registry,people,M Vivekanandan,c4e205e4
info,registry,people,Muhammad Amir,60bec5c3
info,registry,people,N Naranbaatar,b0e16d9b
info,registry,people,O Lutbayar,ccd88623
info,registry,people,Pavandeep Singh,78fcc740
info,registry,people,Rajkumar Rajendran,33ef1bd5
info,registry,people,Rizwan Haider,dc60abdc
info,registry,people,S Gantulga,8d995b86
info,registry,people,S Muniandy,57fcfd3b
info,registry,people,S Vijay Unni,f737ab44
info,registry,people,Shiju Sam,1e2f3eae
info,registry,people,Syed Aziz,6667067e
info,registry,people,T Amarmend,e76c8732
info,registry,people,V Narayan Kutty,4bacee3d
info,registry,people,Virandeep Singh,415d30b6
info,registry,people,Z Shurentsetseg,45c6afaf
info,registry,people,Zubaidi Zulkifle,dca8273d
