version,2.2.0
info,balls_per_over,6
info,team,Denmark
info,team,Germany
info,gender,male
info,season,2023
info,date,2023/07/23
info,event,ICC Men's T20 World Cup Europe Region Qualifier
info,match_number,9
info,venue,"Grange Cricket Club Ground, Raeburn Place, Edinburgh"
info,city,Edinburgh
info,toss_winner,Denmark
info,toss_decision,bat
info,player_of_match,J van Heerden
info,umpire,DH Mclean
info,umpire,R Black
info,reserve_umpire,M Jameson
info,match_referee,Phil Whitticase
info,winner,Germany
info,winner_wickets,6
info,player,Denmark,ND Laegsgaard
info,player,Denmark,T Bharaj
info,player,Denmark,Abdul Hashim
info,player,Denmark,SA Ahmad
info,player,Denmark,OD Hald
info,player,Denmark,S Thanikaithasan
info,player,Denmark,Saran Aslam
info,player,Denmark,JS Henriksen
info,player,Denmark,Lucky Ali
info,player,Denmark,Saud Munir
info,player,Denmark,Abdullah Mahmood
info,player,Germany,V Ganesan
info,player,Germany,J van Heerden
info,player,Germany,MJ Richardson
info,player,Germany,Faisal Mubashir
info,player,Germany,Sahir Naqash
info,player,Germany,DA Blignaut
info,player,Germany,Muslim Yar
info,player,Germany,Sachin Mandy
info,player,Germany,Ghulam Ahmadi
info,player,Germany,SVE Bharathi
info,player,Germany,D Klein
info,registry,people,Abdul Hashim,73b1db79
info,registry,people,Abdullah Mahmood,926c6d3c
info,registry,people,D Klein,aeab0d4f
info,registry,people,DA Blignaut,cfcf189f
info,registry,people,DH Mclean,281d4749
info,registry,people,Faisal Mubashir,ad5342dc
info,registry,people,Ghulam Ahmadi,2dfe0612
info,registry,people,J van Heerden,01549705
info,registry,people,JS Henriksen,2c6052a6
info,registry,people,Lucky Ali,28b032ac
info,registry,people,M Jameson,bdf1ffe3
info,registry,people,MJ Richardson,22176fe7
info,registry,people,Muslim Yar,37d8d19a
info,registry,people,ND Laegsgaard,b0f2d3bd
info,registry,people,OD Hald,38189be1
info,registry,people,Phil Whitticase,99d5f6fa
info,registry,people,R Black,156c8fb1
info,registry,people,S Thanikaithasan,498aacac
info,registry,people,SA Ahmad,8de618ab
info,registry,people,SVE Bharathi,6a63c29c
info,registry,people,Sachin Mandy,501fca0d
info,registry,people,Sahir Naqash,352e589f
info,registry,people,Saran Aslam,2a00735b
info,registry,people,Saud Munir,5902f2eb
info,registry,people,T Bharaj,49556abb
info,registry,people,V Ganesan,baa7dd37
