version,2.2.0
info,balls_per_over,6
info,team,Gibraltar
info,team,Estonia
info,gender,female
info,season,2024
info,date,2024/04/21
info,event,Estonia Women tour of Gibraltar
info,match_number,3
info,venue,Europa Sports Complex
info,city,Gibraltar
info,toss_winner,Gibraltar
info,toss_decision,bat
info,player_of_match,N Caruana
info,umpire,A Elliott
info,umpire,SG Chandiramani
info,reserve_umpire,S Maynard
info,winner,Gibraltar
info,winner_runs,88
info,player,Gibraltar,AIV Benatar
info,player,Gibraltar,N Caruana
info,player,Gibraltar,RA Reilly
info,player,Gibraltar,CT McNally
info,player,Gibraltar,LJ Payas
info,player,Gibraltar,EAS Ferrary
info,player,Gibraltar,P Raghunath
info,player,Gibraltar,H Mumford
info,player,Gibraltar,M Paryani
info,player,Gibraltar,M Mumford
info,player,Gibraltar,YS Blagg
info,player,Estonia,Ragne Hallik
info,player,Estonia,B Wani
info,player,Estonia,Viktoria Frey
info,player,Estonia,H Kerge
info,player,Estonia,M Valner
info,player,Estonia,L Sormus
info,player,Estonia,N Zholudz
info,player,Estonia,N Tykhonravova
info,player,Estonia,L Dalbina
info,player,Estonia,E Ellermaa
info,player,Estonia,S Pattenden
info,registry,people,A Elliott,f48d5563
info,registry,people,AIV Benatar,e8bdbbca
info,registry,people,B Wani,a651cd4d
info,registry,people,CT McNally,6a32ef43
info,registry,people,E Ellermaa,37c085d2
info,registry,people,EAS Ferrary,c3c905ae
info,registry,people,H Kerge,76207d36
info,registry,people,H Mumford,6462c64b
info,registry,people,L Dalbina,2b661b53
info,registry,people,L Sormus,3486a171
info,registry,people,LJ Payas,49355360
info,registry,people,M Mumford,55417c5f
info,registry,people,M Paryani,ffc44968
info,registry,people,M Valner,b5472435
info,registry,people,N Caruana,00d1544c
info,registry,people,N Tykhonravova,b9f09828
info,registry,people,N Zholudz,a60bff88
info,registry,people,P Raghunath,2e287171
info,registry,people,RA Reilly,77276fff
info,registry,people,Ragne Hallik,1ac4b030
info,registry,people,S Maynard,12a7e02a
info,registry,people,S Pattenden,b7880d1d
info,registry,people,SG Chandiramani,4fa795d2
info,registry,people,Viktoria Frey,fed9a316
info,registry,people,YS Blagg,3aac5463
