version,2.2.0
info,balls_per_over,6
info,team,Mali
info,team,Rwanda
info,gender,male
info,season,2022/23
info,date,2022/11/24
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier
info,match_number,24
info,venue,Integrated Polytechnic Regional Centre
info,city,Kigali City
info,toss_winner,Rwanda
info,toss_decision,field
info,player_of_match,K Irakoze
info,umpire,A Paleker
info,umpire,R D'Mello
info,reserve_umpire,IO Oyieko
info,match_referee,S Wadvalla
info,winner,Rwanda
info,winner_wickets,10
info,player,Mali,MT Diaby
info,player,Mali,Mohamed Coulibaly
info,player,Mali,S Kamate
info,player,Mali,L Sanogo
info,player,Mali,Z Makadji
info,player,Mali,L Berthe
info,player,Mali,M Malle
info,player,Mali,MS Diakite
info,player,Mali,CA Keita
info,player,Mali,MS Diawara
info,player,Mali,TM Macalou
info,player,Rwanda,O Tuyisenge
info,player,Rwanda,E Dusingizimana
info,player,Rwanda,D Ndikubwimana
info,player,Rwanda,C Rububagumya
info,player,Rwanda,E Niyomugabo
info,player,Rwanda,Z Bimenyimana
info,player,Rwanda,V Mitari
info,player,Rwanda,K Irakoze
info,player,Rwanda,M Akayezu
info,player,Rwanda,W Niyitanga
info,player,Rwanda,E Sebareme
info,registry,people,A Paleker,634b11ac
info,registry,people,C Rububagumya,8088632c
info,registry,people,CA Keita,5b9b8d98
info,registry,people,D Ndikubwimana,3cbedf51
info,registry,people,E Dusingizimana,c15e7ba4
info,registry,people,E Niyomugabo,2dcac6ff
info,registry,people,E Sebareme,f99a219a
info,registry,people,IO Oyieko,de4828fa
info,registry,people,K Irakoze,9ccb6e52
info,registry,people,L Berthe,8eb7c5a6
info,registry,people,L Sanogo,abbc06cf
info,registry,people,M Akayezu,1f3b9f8d
info,registry,people,M Malle,e15c6692
info,registry,people,MS Diakite,69795fcd
info,registry,people,MS Diawara,8c95e2dd
info,registry,people,MT Diaby,5d00cd6f
info,registry,people,Mohamed Coulibaly,86ea6123
info,registry,people,O Tuyisenge,e6a6888f
info,registry,people,R D'Mello,f3c22863
info,registry,people,S Kamate,d7af6207
info,registry,people,S Wadvalla,c1a1acf3
info,registry,people,TM Macalou,8a9320a1
info,registry,people,V Mitari,3a82673c
info,registry,people,W Niyitanga,e7631adc
info,registry,people,Z Bimenyimana,ba57fb08
info,registry,people,Z Makadji,7fcaa9f4
