version,2.2.0
info,balls_per_over,6
info,team,Tanzania
info,team,Eswatini
info,gender,male
info,season,2022/23
info,date,2022/12/06
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier
info,match_number,17
info,venue,Gahanga International Cricket Stadium. Rwanda
info,city,Kigali City
info,toss_winner,Eswatini
info,toss_decision,field
info,player_of_match,AR Patwa
info,umpire,S Kintu
info,umpire,Stephen Harris
info,reserve_umpire,C Phiri
info,match_referee,SA Fritz
info,winner,Tanzania
info,winner_runs,66
info,player,Tanzania,AR Patwa
info,player,Tanzania,II Selemani
info,player,Tanzania,AP Rajeevan
info,player,Tanzania,S Thakor
info,player,Tanzania,K Nassoro
info,player,Tanzania,MO Kitunda
info,player,Tanzania,Akhil Anil
info,player,Tanzania,HA Chohan
info,player,Tanzania,SA Jumbe
info,player,Tanzania,AM Kimote
info,player,Tanzania,YM Nkanya
info,player,Eswatini,T Sandeep
info,player,Eswatini,C Forbes
info,player,Eswatini,Adil Butt
info,player,Eswatini,Naeem Gull
info,player,Eswatini,Eric Phiri
info,player,Eswatini,Umair Qasim
info,player,Eswatini,H Rashid
info,player,Eswatini,M Jele
info,player,Eswatini,Mohammed Alamgir
info,player,Eswatini,M Magagula
info,player,Eswatini,D Polpitiya
info,registry,people,AM Kimote,34e36b65
info,registry,people,AP Rajeevan,63d6f031
info,registry,people,AR Patwa,b43f7a6a
info,registry,people,Adil Butt,fde53ec1
info,registry,people,Akhil Anil,c06c25fd
info,registry,people,C Forbes,8a9e3cd0
info,registry,people,C Phiri,ade73404
info,registry,people,D Polpitiya,b7062209
info,registry,people,Eric Phiri,b6355062
info,registry,people,H Rashid,725c73f2
info,registry,people,HA Chohan,847b4bdd
info,registry,people,II Selemani,b2dadc51
info,registry,people,K Nassoro,29ee9bf9
info,registry,people,M Jele,1a8cedc8
info,registry,people,M Magagula,7a787b98
info,registry,people,MO Kitunda,badef0dc
info,registry,people,Mohammed Alamgir,e0f12392
info,registry,people,Naeem Gull,4c49c917
info,registry,people,S Kintu,ff387f93
info,registry,people,S Thakor,0848ac5f
info,registry,people,SA Fritz,d15e60c8
info,registry,people,SA Jumbe,91056862
info,registry,people,Stephen Harris,fdcfd4aa
info,registry,people,T Sandeep,b794a78d
info,registry,people,Umair Qasim,e086735b
info,registry,people,YM Nkanya,9238dd92
