version,2.2.0
info,balls_per_over,6
info,team,Papua New Guinea
info,team,New Zealand
info,gender,male
info,season,2024
info,date,2024/06/17
info,event,ICC Men's T20 World Cup
info,match_number,39
info,venue,"Brian Lara Stadium, Tarouba, Trinidad"
info,city,Tarouba
info,toss_winner,New Zealand
info,toss_decision,field
info,player_of_match,LH Ferguson
info,umpire,L Rusere
info,umpire,PR Reiffel
info,reserve_umpire,RK Illingworth
info,tv_umpire,JS Wilson
info,match_referee,DC Boon
info,winner,New Zealand
info,winner_wickets,7
info,player,Papua New Guinea,TP Ura
info,player,Papua New Guinea,A Vala
info,player,Papua New Guinea,CJA Amini
info,player,Papua New Guinea,S Bau
info,player,Papua New Guinea,H Hiri
info,player,Papua New Guinea,CA Soper
info,player,Papua New Guinea,K Doriga
info,player,Papua New Guinea,N Vanua
info,player,Papua New Guinea,A Nao
info,player,Papua New Guinea,KV Morea
info,player,Papua New Guinea,SI Kamea
info,player,New Zealand,FH Allen
info,player,New Zealand,DP Conway
info,player,New Zealand,R Ravindra
info,player,New Zealand,KS Williamson
info,player,New Zealand,DJ Mitchell
info,player,New Zealand,GD Phillips
info,player,New Zealand,IS Sodhi
info,player,New Zealand,MJ Santner
info,player,New Zealand,TG Southee
info,player,New Zealand,LH Ferguson
info,player,New Zealand,TA Boult
info,registry,people,A Nao,4d1ec7eb
info,registry,people,A Vala,72e60730
info,registry,people,CA Soper,9920dd86
info,registry,people,CJA Amini,4d84ad05
info,registry,people,DC Boon,e79a1fe3
info,registry,people,DJ Mitchell,eade4650
info,registry,people,DP Conway,df5a6881
info,registry,people,FH Allen,bf74b130
info,registry,people,GD Phillips,9a46c4e5
info,registry,people,H Hiri,9dc3ea7e
info,registry,people,IS Sodhi,641ac5ff
info,registry,people,JS Wilson,d7f3b72f
info,registry,people,K Doriga,365229a8
info,registry,people,KS Williamson,d027ba9f
info,registry,people,KV Morea,270bf7e2
info,registry,people,L Rusere,6a4734ae
info,registry,people,LH Ferguson,2f9d0389
info,registry,people,MJ Santner,e4a0deae
info,registry,people,N Vanua,a36915ce
info,registry,people,PR Reiffel,c9354f29
info,registry,people,R Ravindra,ba5e1069
info,registry,people,RK Illingworth,20672246
info,registry,people,S Bau,9a95bebb
info,registry,people,SI Kamea,0730a707
info,registry,people,TA Boult,a818c1be
info,registry,people,TG Southee,13c35c9e
info,registry,people,TP Ura,a82eb3fb
