version,2.2.0
info,balls_per_over,6
info,team,New Zealand
info,team,Sri Lanka
info,gender,female
info,season,2023
info,date,2023/07/12
info,event,New Zealand Women tour of Sri Lanka
info,match_number,3
info,venue,"P Sara Oval, Colombo"
info,city,Colombo
info,toss_winner,Sri Lanka
info,toss_decision,field
info,player_of_match,AC Jayangani
info,umpire,BCN Amarasinghe
info,umpire,LDVV Silva
info,reserve_umpire,WN de Silva
info,match_referee,JM Pereira
info,winner,Sri Lanka
info,winner_wickets,10
info,player,New Zealand,SW Bates
info,player,New Zealand,IC Gaze
info,player,New Zealand,AC Kerr
info,player,New Zealand,SFM Devine
info,player,New Zealand,ML Green
info,player,New Zealand,GE Plimmer
info,player,New Zealand,BM Halliday
info,player,New Zealand,HM Rowe
info,player,New Zealand,MM Penfold
info,player,New Zealand,EJ Carson
info,player,New Zealand,FC Jonas
info,player,Sri Lanka,H Madavi
info,player,Sri Lanka,AC Jayangani
info,player,Sri Lanka,NND de Silva
info,player,Sri Lanka,WK Dilhari
info,player,Sri Lanka,MAA Sanjeewani
info,player,Sri Lanka,I Ranaweera
info,player,Sri Lanka,BMSM Kumari
info,player,Sri Lanka,SIP Fernando
info,player,Sri Lanka,GWHM Perera
info,player,Sri Lanka,I Dulani
info,player,Sri Lanka,K Kavindi
info,registry,people,AC Jayangani,ac56b5a7
info,registry,people,AC Kerr,7673c908
info,registry,people,BCN Amarasinghe,ccd560d6
info,registry,people,BM Halliday,efb6cb2a
info,registry,people,BMSM Kumari,b55fb828
info,registry,people,EJ Carson,7693851c
info,registry,people,FC Jonas,6df697a9
info,registry,people,GE Plimmer,575494db
info,registry,people,GWHM Perera,53068b45
info,registry,people,H Madavi,85021bcd
info,registry,people,HM Rowe,8ca1f93a
info,registry,people,I Dulani,a2c23f31
info,registry,people,I Ranaweera,a61850e6
info,registry,people,IC Gaze,60c250bf
info,registry,people,JM Pereira,f9a4a039
info,registry,people,K Kavindi,2fa916b3
info,registry,people,LDVV Silva,6e226c31
info,registry,people,MAA Sanjeewani,318a4039
info,registry,people,ML Green,865eae1f
info,registry,people,MM Penfold,645b2a2f
info,registry,people,NND de Silva,f0b4294e
info,registry,people,SFM Devine,de69af96
info,registry,people,SIP Fernando,5838cb64
info,registry,people,SW Bates,89bbc67a
info,registry,people,WK Dilhari,c34a15e6
info,registry,people,WN de Silva,53e20e1c
