version,2.2.0
info,balls_per_over,6
info,team,England
info,team,New Zealand
info,gender,female
info,season,2023/24
info,date,2024/03/27
info,event,England Women tour of New Zealand
info,match_number,4
info,venue,"Basin Reserve, Wellington"
info,city,Wellington
info,toss_winner,New Zealand
info,toss_decision,field
info,player_of_match,ME Bouchier
info,umpire,CM Brown
info,umpire,C Black
info,reserve_umpire,Kim Cotton
info,tv_umpire,Eloise Sheridan
info,match_referee,TL Anderson
info,winner,England
info,winner_runs,47
info,player,England,ME Bouchier
info,player,England,DN Wyatt
info,player,England,A Capsey
info,player,England,NR Sciver-Brunt
info,player,England,HC Knight
info,player,England,AE Jones
info,player,England,SIR Dunkley
info,player,England,DR Gibson
info,player,England,S Ecclestone
info,player,England,CE Dean
info,player,England,LK Bell
info,player,New Zealand,SW Bates
info,player,New Zealand,B Bezuidenhout
info,player,New Zealand,AC Kerr
info,player,New Zealand,ML Green
info,player,New Zealand,BM Halliday
info,player,New Zealand,IC Gaze
info,player,New Zealand,HM Rowe
info,player,New Zealand,JM Kerr
info,player,New Zealand,RA Mair
info,player,New Zealand,SFM Devine
info,player,New Zealand,FC Jonas
info,registry,people,A Capsey,910dd54e
info,registry,people,AC Kerr,7673c908
info,registry,people,AE Jones,b05e45e4
info,registry,people,B Bezuidenhout,564afdcf
info,registry,people,BM Halliday,efb6cb2a
info,registry,people,C Black,75b42f71
info,registry,people,CE Dean,c6625a26
info,registry,people,CM Brown,448f4f1c
info,registry,people,DN Wyatt,a139c379
info,registry,people,DR Gibson,d2763568
info,registry,people,Eloise Sheridan,d8d43840
info,registry,people,FC Jonas,6df697a9
info,registry,people,HC Knight,4ba0289e
info,registry,people,HM Rowe,8ca1f93a
info,registry,people,IC Gaze,60c250bf
info,registry,people,JM Kerr,9af58032
info,registry,people,Kim Cotton,67a7c2ee
info,registry,people,LK Bell,38b4583c
info,registry,people,ME Bouchier,c2554b59
info,registry,people,ML Green,865eae1f
info,registry,people,NR Sciver-Brunt,f3a18a0c
info,registry,people,RA Mair,d5eb8b84
info,registry,people,S Ecclestone,cdb82f1c
info,registry,people,SFM Devine,de69af96
info,registry,people,SIR Dunkley,3a9e9cb2
info,registry,people,SW Bates,89bbc67a
info,registry,people,TL Anderson,f52ddf8d
