version,2.2.0
info,balls_per_over,6
info,team,Japan
info,team,Maldives
info,gender,male
info,season,2023/24
info,date,2024/02/04
info,event,Asian Cricket Council Men's Challenger Cup
info,match_number,8
info,venue,"Terdthai Cricket Ground, Bangkok"
info,city,Bangkok
info,toss_winner,Japan
info,toss_decision,bat
info,player_of_match,S Ravichandran
info,umpire,Arif Ansari
info,umpire,N Sivan
info,reserve_umpire,Samad Akbar
info,tv_umpire,Hardeep Jadeja
info,match_referee,G Sankaranarayanan
info,winner,Japan
info,winner_runs,42
info,player,Japan,L Yamamoto-Lake
info,player,Japan,KH Abe
info,player,Japan,K Kadowaki-Fleming
info,player,Japan,A Patmore
info,player,Japan,S Ravichandran
info,player,Japan,D Suzuki
info,player,Japan,I Takahashi
info,player,Japan,R Sakurano-Thomas
info,player,Japan,K Kato-Stafford
info,player,Japan,M Taniyama
info,player,Japan,C Hinze
info,player,Maldives,Shaof Hassan
info,player,Maldives,Umar Adam
info,player,Maldives,Azyan Farhath
info,player,Maldives,KTK Rodrigo
info,player,Maldives,Hassan Rasheed
info,player,Maldives,Mohamed Azzam
info,player,Maldives,Ismail Ali
info,player,Maldives,Ibrahim Hassan
info,player,Maldives,Ibrahim Rizan
info,player,Maldives,Nazwan Ismail
info,player,Maldives,Mohamed Ishmath
info,registry,people,A Patmore,85119526
info,registry,people,Arif Ansari,95957b9e
info,registry,people,Azyan Farhath,3e06e7ac
info,registry,people,C Hinze,626af7ff
info,registry,people,D Suzuki,64c81abf
info,registry,people,G Sankaranarayanan,a4a348f9
info,registry,people,Hardeep Jadeja,552cf5a2
info,registry,people,Hassan Rasheed,1ca51098
info,registry,people,I Takahashi,c988daa1
info,registry,people,Ibrahim Hassan,4add4c98
info,registry,people,Ibrahim Rizan,7267e3cd
info,registry,people,Ismail Ali,5117fa55
info,registry,people,K Kadowaki-Fleming,33290a80
info,registry,people,K Kato-Stafford,e03ca117
info,registry,people,KH Abe,f22d2247
info,registry,people,KTK Rodrigo,a482add2
info,registry,people,L Yamamoto-Lake,fa23405f
info,registry,people,M Taniyama,cbd91942
info,registry,people,Mohamed Azzam,e43c9818
info,registry,people,Mohamed Ishmath,8c7b9bfc
info,registry,people,N Sivan,8f4a0102
info,registry,people,Nazwan Ismail,c8e5012c
info,registry,people,R Sakurano-Thomas,dd14abf5
info,registry,people,S Ravichandran,9f2be73d
info,registry,people,Samad Akbar,f05bd21b
info,registry,people,Shaof Hassan,f6e160d7
info,registry,people,Umar Adam,5d77a96a
