version,2.2.0
info,balls_per_over,6
info,team,Rwanda
info,team,Uganda
info,gender,male
info,season,2023
info,date,2023/08/27
info,event,East Africa Cup
info,match_number,12
info,venue,"Gahanga International Cricket Stadium, Rwanda"
info,city,Kigali City
info,toss_winner,Rwanda
info,toss_decision,bat
info,player_of_match,AR Ramjani
info,umpire,Gaston Niyibizi
info,umpire,Maryyam Sheikh
info,reserve_umpire,Vicky Prajapati
info,winner,Uganda
info,winner_wickets,6
info,player,Rwanda,O Manishimwe
info,player,Rwanda,E Dusingizimana
info,player,Rwanda,W Niyitanga
info,player,Rwanda,O Tuyisenge
info,player,Rwanda,C Rububagumya
info,player,Rwanda,E Niyomugabo
info,player,Rwanda,K Irakoze
info,player,Rwanda,E Sebareme
info,player,Rwanda,E Rukiriza
info,player,Rwanda,I Mugisha
info,player,Rwanda,E Kubwimana
info,player,Uganda,RG Mukasa
info,player,Uganda,S Sesazi
info,player,Uganda,R Lutaaya
info,player,Uganda,RB Patel
info,player,Uganda,AR Ramjani
info,player,Uganda,K Waiswa
info,player,Uganda,S Nsubuga
info,player,Uganda,D Wabwire
info,player,Uganda,B Masaba
info,player,Uganda,H Ssenyondo
info,player,Uganda,P Murungi
info,registry,people,AR Ramjani,30d8136b
info,registry,people,B Masaba,f33cfd25
info,registry,people,C Rububagumya,8088632c
info,registry,people,D Wabwire,a628a5c8
info,registry,people,E Dusingizimana,c15e7ba4
info,registry,people,E Kubwimana,bfc7799f
info,registry,people,E Niyomugabo,2dcac6ff
info,registry,people,E Rukiriza,3ac13a94
info,registry,people,E Sebareme,f99a219a
info,registry,people,Gaston Niyibizi,eb99c84c
info,registry,people,H Ssenyondo,2b7609f1
info,registry,people,I Mugisha,d3eedb51
info,registry,people,K Irakoze,9ccb6e52
info,registry,people,K Waiswa,a3a275ec
info,registry,people,Maryyam Sheikh,4ae530cf
info,registry,people,O Manishimwe,fb31ca49
info,registry,people,O Tuyisenge,e6a6888f
info,registry,people,P Murungi,fbdc5ab1
info,registry,people,R Lutaaya,04e0cdec
info,registry,people,RB Patel,f88dc8de
info,registry,people,RG Mukasa,011f6b42
info,registry,people,S Nsubuga,58cb36aa
info,registry,people,S Sesazi,c2c975f9
info,registry,people,Vicky Prajapati,8926ed4e
info,registry,people,W Niyitanga,e7631adc
