version,2.2.0
info,balls_per_over,6
info,team,Bangladesh
info,team,Sri Lanka
info,gender,female
info,season,2022/23
info,date,2023/02/12
info,event,ICC Women's T20 World Cup
info,match_number,5
info,venue,"Newlands, Cape Town"
info,city,Cape Town
info,toss_winner,Bangladesh
info,toss_decision,bat
info,player_of_match,H Madavi
info,umpire,AY Harris
info,umpire,S Redfern
info,reserve_umpire,Kim Cotton
info,tv_umpire,JM Williams
info,match_referee,GS Lakshmi
info,winner,Sri Lanka
info,winner_wickets,7
info,player,Bangladesh,Shamima Sultana
info,player,Bangladesh,Murshida Khatun
info,player,Bangladesh,S Mostary
info,player,Bangladesh,Nigar Sultana
info,player,Bangladesh,Lata Mondal
info,player,Bangladesh,Shorna Akter
info,player,Bangladesh,Ritu Moni
info,player,Bangladesh,Salma Khatun
info,player,Bangladesh,Nahida Akter
info,player,Bangladesh,Jahanara Alam
info,player,Bangladesh,Marufa Akter
info,player,Sri Lanka,H Madavi
info,player,Sri Lanka,AC Jayangani
info,player,Sri Lanka,RMVD Gunaratne
info,player,Sri Lanka,MAA Sanjeewani
info,player,Sri Lanka,NND de Silva
info,player,Sri Lanka,WK Dilhari
info,player,Sri Lanka,OU Ranasinghe
info,player,Sri Lanka,KADA Kanchana
info,player,Sri Lanka,BMSM Kumari
info,player,Sri Lanka,I Ranaweera
info,player,Sri Lanka,WGAKK Kulasuriya
info,registry,people,AC Jayangani,ac56b5a7
info,registry,people,AY Harris,90d95b82
info,registry,people,BMSM Kumari,b55fb828
info,registry,people,GS Lakshmi,ba8d5615
info,registry,people,H Madavi,85021bcd
info,registry,people,I Ranaweera,a61850e6
info,registry,people,JM Williams,b61d9d70
info,registry,people,Jahanara Alam,752183c1
info,registry,people,KADA Kanchana,4ac6664d
info,registry,people,Kim Cotton,67a7c2ee
info,registry,people,Lata Mondal,5bf87532
info,registry,people,MAA Sanjeewani,318a4039
info,registry,people,Marufa Akter,a50797a4
info,registry,people,Murshida Khatun,712bbd92
info,registry,people,NND de Silva,f0b4294e
info,registry,people,Nahida Akter,66078174
info,registry,people,Nigar Sultana,3827f6a2
info,registry,people,OU Ranasinghe,52d3b7ff
info,registry,people,RMVD Gunaratne,9e866b59
info,registry,people,Ritu Moni,ad3940a5
info,registry,people,S Mostary,94de63bf
info,registry,people,S Redfern,5b038989
info,registry,people,Salma Khatun,037f2b86
info,registry,people,Shamima Sultana,724645f5
info,registry,people,Shorna Akter,89895ae1
info,registry,people,WGAKK Kulasuriya,550373ea
info,registry,people,WK Dilhari,c34a15e6
