version,2.2.0
info,balls_per_over,6
info,team,Japan
info,team,Singapore
info,gender,female
info,season,2024/25
info,date,2024/10/04
info,event,Singapore Women tour of Japan
info,match_number,3
info,venue,Sano International Cricket Ground
info,city,Sano
info,toss_winner,Japan
info,toss_decision,bat
info,player_of_match,Vinu Kumar
info,umpire,Adam Birss
info,umpire,Vipin Sukhwal
info,winner,Japan
info,winner_runs,17
info,player,Japan,A Kano
info,player,Japan,M Yanagida
info,player,Japan,S Kato
info,player,Japan,H Goto
info,player,Japan,K Ota
info,player,Japan,A Chandel
info,player,Japan,R Morita
info,player,Japan,Seika Sumi
info,player,Japan,M Ogawa
info,player,Japan,Nonoha Yasumoto
info,player,Japan,E Kusuda-Nairn
info,player,Singapore,PSR Gurusinghe
info,player,Singapore,GK Diviya
info,player,Singapore,Vinu Kumar
info,player,Singapore,RR Seth
info,player,Singapore,Shafina Mahesh
info,player,Singapore,DA Galia
info,player,Singapore,JS Pooranakaran
info,player,Singapore,C Boyle
info,player,Singapore,I Shukla
info,player,Singapore,LAR Bommareddy
info,player,Singapore,Smriti Anand
info,registry,people,A Chandel,78fa5f6d
info,registry,people,A Kano,e92841c0
info,registry,people,Adam Birss,0cabf6f4
info,registry,people,C Boyle,11374353
info,registry,people,DA Galia,ae0b5b95
info,registry,people,E Kusuda-Nairn,95c5ce07
info,registry,people,GK Diviya,992979fa
info,registry,people,H Goto,b3af5bff
info,registry,people,I Shukla,ce490298
info,registry,people,JS Pooranakaran,417bde96
info,registry,people,K Ota,211f48fe
info,registry,people,LAR Bommareddy,3da8cd3a
info,registry,people,M Ogawa,93d65d0f
info,registry,people,M Yanagida,f20e7e23
info,registry,people,Nonoha Yasumoto,eb33378d
info,registry,people,PSR Gurusinghe,591a7004
info,registry,people,R Morita,d745c1db
info,registry,people,RR Seth,7ccc0a38
info,registry,people,S Kato,ef9ff861
info,registry,people,Seika Sumi,704b4c30
info,registry,people,Shafina Mahesh,0c40b02d
info,registry,people,Smriti Anand,6a532414
info,registry,people,Vinu Kumar,3775b9f9
info,registry,people,Vipin Sukhwal,f7094357
