version,2.2.0
info,balls_per_over,6
info,team,United Arab Emirates
info,team,Qatar
info,gender,male
info,season,2024/25
info,date,2024/12/18
info,event,Gulf T20I Championship
info,match_number,12
info,venue,"ICC Academy, Dubai"
info,city,Dubai
info,toss_winner,United Arab Emirates
info,toss_decision,bat
info,player_of_match,SS Kang
info,umpire,Rahat Ali
info,umpire,Zahid Usman
info,reserve_umpire,Asim Mehmood
info,tv_umpire,G Pillai
info,match_referee,Iftikhar Ali
info,winner,United Arab Emirates
info,winner_runs,23
info,player,United Arab Emirates,T Suri
info,player,United Arab Emirates,Waseem Muhammad
info,player,United Arab Emirates,A Sharafu
info,player,United Arab Emirates,Asif Khan
info,player,United Arab Emirates,R Chopra
info,player,United Arab Emirates,Ali Naseer
info,player,United Arab Emirates,Zuhaib Zubair
info,player,United Arab Emirates,D Parashar
info,player,United Arab Emirates,Junaid Siddique
info,player,United Arab Emirates,Muhammad Jawadullah
info,player,United Arab Emirates,SS Kang
info,player,Qatar,Saqlain Arshad
info,player,Qatar,I Liyanage
info,player,Qatar,Mohammad Rizlan
info,player,Qatar,Mohammad Ahnaff
info,player,Qatar,Muhammad Tanveer
info,player,Qatar,Muhammad Asim
info,player,Qatar,Ikramullah Khan
info,player,Qatar,H Rathod
info,player,Qatar,Amir Farooq
info,player,Qatar,Mohammed Nadeem
info,player,Qatar,Muhammad Jabir
info,registry,people,A Sharafu,06cad4f0
info,registry,people,Ali Naseer,f5715b48
info,registry,people,Amir Farooq,6e991bd4
info,registry,people,Asif Khan,074acfb4
info,registry,people,Asim Mehmood,4109cbec
info,registry,people,D Parashar,395179e8
info,registry,people,G Pillai,c363921c
info,registry,people,H Rathod,1f943bef
info,registry,people,I Liyanage,826e1017
info,registry,people,Iftikhar Ali,fc537391
info,registry,people,Ikramullah Khan,c6e1354c
info,registry,people,Junaid Siddique,84dc72db
info,registry,people,Mohammad Ahnaff,9b85a13a
info,registry,people,Mohammad Rizlan,82afc034
info,registry,people,Mohammed Nadeem,856cbb1e
info,registry,people,Muhammad Asim,b424d3d3
info,registry,people,Muhammad Jabir,b67af1c4
info,registry,people,Muhammad Jawadullah,098a757c
info,registry,people,Muhammad Tanveer,aef39fe4
info,registry,people,R Chopra,a71d0f89
info,registry,people,Rahat Ali,458161f4
info,registry,people,SS Kang,797ee165
info,registry,people,Saqlain Arshad,71ad618b
info,registry,people,T Suri,a76d4082
info,registry,people,Waseem Muhammad,6f02fe2a
info,registry,people,Zahid Usman,5ee3b5bd
info,registry,people,Zuhaib Zubair,9124aa4c
