version,2.2.0
info,balls_per_over,6
info,team,Malawi
info,team,Rwanda
info,gender,male
info,season,2024/25
info,date,2024/10/10
info,event,Rwanda tour of Malawi
info,match_number,2
info,venue,"TCA Oval, Blantyre"
info,city,Blantyre
info,toss_winner,Rwanda
info,toss_decision,field
info,player_of_match,O Manishimwe
info,umpire,BP Jele
info,umpire,Osman Mhango
info,match_referee,D Odhiambo
info,winner,Rwanda
info,winner_wickets,9
info,player,Malawi,D Kansonkho
info,player,Malawi,G Kansonkho
info,player,Malawi,Sami Sohail
info,player,Malawi,A Limdawala
info,player,Malawi,P Zuze
info,player,Malawi,C Chete
info,player,Malawi,M Choamba
info,player,Malawi,D Jakiel
info,player,Malawi,SZ Vayani
info,player,Malawi,B Pondani
info,player,Malawi,B Balala
info,player,Rwanda,O Manishimwe
info,player,Rwanda,D Ndikubwimana
info,player,Rwanda,W Niyitanga
info,player,Rwanda,M Akayezu
info,player,Rwanda,Z Bimenyimana
info,player,Rwanda,I Ntirenganya
info,player,Rwanda,C Rububagumya
info,player,Rwanda,Muhammad Nadir
info,player,Rwanda,D Gumyusenge
info,player,Rwanda,E Rukiriza
info,player,Rwanda,Yves Cyusa
info,registry,people,A Limdawala,2bcbcac3
info,registry,people,B Balala,a2f8e873
info,registry,people,B Pondani,e5117568
info,registry,people,BP Jele,7bb1331e
info,registry,people,C Chete,ef4f539a
info,registry,people,C Rububagumya,8088632c
info,registry,people,D Gumyusenge,eeb78e0a
info,registry,people,D Jakiel,8b7ce771
info,registry,people,D Kansonkho,45ca12a7
info,registry,people,D Ndikubwimana,3cbedf51
info,registry,people,D Odhiambo,45994517
info,registry,people,E Rukiriza,3ac13a94
info,registry,people,G Kansonkho,f3ca5af8
info,registry,people,I Ntirenganya,e73f6c4b
info,registry,people,M Akayezu,1f3b9f8d
info,registry,people,M Choamba,5570c4c1
info,registry,people,Muhammad Nadir,090f96e4
info,registry,people,O Manishimwe,fb31ca49
info,registry,people,Osman Mhango,fa4ec243
info,registry,people,P Zuze,04420914
info,registry,people,SZ Vayani,a4afc486
info,registry,people,Sami Sohail,602ebd4c
info,registry,people,W Niyitanga,e7631adc
info,registry,people,Yves Cyusa,b5aa28ce
info,registry,people,Z Bimenyimana,ba57fb08
