version,2.2.0
info,balls_per_over,6
info,team,Bermuda
info,team,Cayman Islands
info,gender,male
info,season,2022/23
info,date,2023/02/25
info,event,ICC Men's T20 World Cup Americas Region Qualifier
info,match_number,2
info,venue,"St Albans Club, Buenos Aires"
info,city,Buenos Aires
info,toss_winner,Bermuda
info,toss_decision,bat
info,player_of_match,KS Leverock
info,umpire,N Duguid
info,umpire,SN Bandekar
info,reserve_umpire,Vijaya Mallela
info,match_referee,Reon King
info,winner,Bermuda
info,winner_runs,96
info,player,Bermuda,KS Leverock
info,player,Bermuda,T Manders
info,player,Bermuda,DMW Rawlins
info,player,Bermuda,TS Fray
info,player,Bermuda,MO Jones
info,player,Bermuda,D Sabir
info,player,Bermuda,JE Pitcher
info,player,Bermuda,S Smith
info,player,Bermuda,JDP Albertze
info,player,Bermuda,DL Brangman
info,player,Bermuda,Z Burgess
info,player,Cayman Islands,YSD Seneveratne
info,player,Cayman Islands,OR Willis
info,player,Cayman Islands,RA Sealy
info,player,Cayman Islands,P Heron
info,player,Cayman Islands,P Manning
info,player,Cayman Islands,AF Ifill
info,player,Cayman Islands,C Wright
info,player,Cayman Islands,D Johnson
info,player,Cayman Islands,T Taylor
info,player,Cayman Islands,A Wright
info,player,Cayman Islands,T Hewa
info,registry,people,A Wright,4bb7f51e
info,registry,people,AF Ifill,0e6c2f00
info,registry,people,C Wright,d465c6d7
info,registry,people,D Johnson,d406e303
info,registry,people,D Sabir,04bc296f
info,registry,people,DL Brangman,dab18aa5
info,registry,people,DMW Rawlins,f1eb3c73
info,registry,people,JDP Albertze,80782209
info,registry,people,JE Pitcher,ab126ea8
info,registry,people,KS Leverock,e1592949
info,registry,people,MO Jones,0e0afd8b
info,registry,people,N Duguid,64495506
info,registry,people,OR Willis,819574ef
info,registry,people,P Heron,30b902a3
info,registry,people,P Manning,f06b5585
info,registry,people,RA Sealy,1e98804a
info,registry,people,Reon King,20fbf68c
info,registry,people,S Smith,18a0ba24
info,registry,people,SN Bandekar,350528bb
info,registry,people,T Hewa,3c19f045
info,registry,people,T Manders,6d2b9724
info,registry,people,T Taylor,1d6e8f52
info,registry,people,TS Fray,c7537f8a
info,registry,people,Vijaya Mallela,85b6244a
info,registry,people,YSD Seneveratne,0f71478c
info,registry,people,Z Burgess,d0042e16
