version,2.2.0
info,balls_per_over,6
info,team,Cambodia
info,team,United Arab Emirates
info,gender,male
info,season,2024/25
info,date,2024/11/22
info,event,ICC Men's T20 World Cup Asia Qualifier B
info,match_number,7
info,venue,"West End Park International Cricket Stadium, Doha"
info,city,Doha
info,toss_winner,United Arab Emirates
info,toss_decision,field
info,player_of_match,Muhammad Jawadullah
info,umpire,Ahmed Shah Durrani
info,umpire,VG Rathi
info,reserve_umpire,BB Pradhan
info,match_referee,Ali Naqvi
info,winner,United Arab Emirates
info,winner_wickets,5
info,player,Cambodia,Salvin Stanly
info,player,Cambodia,Lakshit Gupta
info,player,Cambodia,M Chadha
info,player,Cambodia,Shah Abrar Hussain
info,player,Cambodia,Luqman Butt
info,player,Cambodia,US Hathinjar
info,player,Cambodia,E Beukes
info,player,Cambodia,Utkarsh Jain
info,player,Cambodia,GC Murtaza
info,player,Cambodia,Phon Bunthean
info,player,Cambodia,NT Gireesh
info,player,United Arab Emirates,A Sharafu
info,player,United Arab Emirates,Waseem Muhammad
info,player,United Arab Emirates,Asif Khan
info,player,United Arab Emirates,Syed Haider
info,player,United Arab Emirates,R Chopra
info,player,United Arab Emirates,D Parashar
info,player,United Arab Emirates,Zuhaib Zubair
info,player,United Arab Emirates,Junaid Siddique
info,player,United Arab Emirates,Muhammad Jawadullah
info,player,United Arab Emirates,Omid Shafi Rahman
info,player,United Arab Emirates,SS Kang
info,registry,people,A Sharafu,06cad4f0
info,registry,people,Ahmed Shah Durrani,af23265a
info,registry,people,Ali Naqvi,3c89fc88
info,registry,people,Asif Khan,074acfb4
info,registry,people,BB Pradhan,8603d942
info,registry,people,D Parashar,395179e8
info,registry,people,E Beukes,fbb8cf87
info,registry,people,GC Murtaza,6cc4d322
info,registry,people,Junaid Siddique,84dc72db
info,registry,people,Lakshit Gupta,52b090a6
info,registry,people,Luqman Butt,7a6decc8
info,registry,people,M Chadha,93a77ad4
info,registry,people,Muhammad Jawadullah,098a757c
info,registry,people,NT Gireesh,32190239
info,registry,people,Omid Shafi Rahman,edfe226f
info,registry,people,Phon Bunthean,8981deb8
info,registry,people,R Chopra,a71d0f89
info,registry,people,SS Kang,797ee165
info,registry,people,Salvin Stanly,a6631b55
info,registry,people,Shah Abrar Hussain,6ec13131
info,registry,people,Syed Haider,ab23a6a1
info,registry,people,US Hathinjar,5f77f23a
info,registry,people,Utkarsh Jain,1f4a78c5
info,registry,people,VG Rathi,144e5b16
info,registry,people,Waseem Muhammad,6f02fe2a
info,registry,people,Zuhaib Zubair,9124aa4c
