version,2.2.0
info,balls_per_over,6
info,team,Tanzania
info,team,Hong Kong
info,gender,female
info,season,2023/24
info,date,2023/11/18
info,event,Women's T20 Quadrangular Series (in Hong Kong)
info,match_number,6
info,venue,Hong Kong Cricket Club
info,city,Wong Nai Chung Gap
info,toss_winner,Tanzania
info,toss_decision,bat
info,player_of_match,M Hill
info,umpire,John Prakash
info,umpire,S Vachha
info,reserve_umpire,Ramasamy Venkatesh
info,match_referee,G Sankaranarayanan
info,winner,Hong Kong
info,winner_wickets,10
info,player,Tanzania,S Mtae
info,player,Tanzania,FO Kibasu
info,player,Tanzania,M Pascal
info,player,Tanzania,HM Omary
info,player,Tanzania,A Mohamed
info,player,Tanzania,NJ Pius
info,player,Tanzania,PZ Kamunya
info,player,Tanzania,SF Jerome
info,player,Tanzania,SH Mohamedi
info,player,Tanzania,MH Ushanga
info,player,Tanzania,S Borakambi
info,player,Hong Kong,NT Miles
info,player,Hong Kong,M Hill
info,player,Hong Kong,Iqra Sahar
info,player,Hong Kong,Hiu Ying Cheung
info,player,Hong Kong,M Wai Siu
info,player,Hong Kong,WK Lai
info,player,Hong Kong,M Bibi
info,player,Hong Kong,Ruchitha Venkatesh
info,player,Hong Kong,Shanzeen Shahzad
info,player,Hong Kong,KY Chan
info,player,Hong Kong,EK Hubbard
info,registry,people,A Mohamed,86a68879
info,registry,people,EK Hubbard,1486e3fd
info,registry,people,FO Kibasu,1c726c76
info,registry,people,G Sankaranarayanan,a4a348f9
info,registry,people,HM Omary,2cbe5db1
info,registry,people,Hiu Ying Cheung,9efce9fd
info,registry,people,Iqra Sahar,aaccb8ca
info,registry,people,John Prakash,b5f3d429
info,registry,people,KY Chan,6348c6e9
info,registry,people,M Bibi,34f86a2d
info,registry,people,M Hill,bf5e7711
info,registry,people,M Pascal,729c5ab5
info,registry,people,M Wai Siu,74eecff4
info,registry,people,MH Ushanga,0286eabe
info,registry,people,NJ Pius,f4270fc7
info,registry,people,NT Miles,d27d0835
info,registry,people,PZ Kamunya,6e60bbe2
info,registry,people,Ramasamy Venkatesh,8ad68ea7
info,registry,people,Ruchitha Venkatesh,106135f5
info,registry,people,S Borakambi,36099d55
info,registry,people,S Mtae,bb641155
info,registry,people,S Vachha,4d156994
info,registry,people,SF Jerome,e393c6c1
info,registry,people,SH Mohamedi,10ab6a37
info,registry,people,Shanzeen Shahzad,ce291858
info,registry,people,WK Lai,6ab99b17
