version,2.2.0
info,balls_per_over,6
info,team,Kuwait
info,team,Bahrain
info,gender,male
info,season,2024
info,date,2024/04/15
info,event,ACC Men's Premier Cup
info,match_number,14
info,venue,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2)
info,city,Al Amarat
info,toss_winner,Bahrain
info,toss_decision,field
info,player_of_match,Yasin Patel
info,umpire,Ahmed Shah Durrani
info,umpire,Vinod Babu
info,reserve_umpire,RMPJ Rambukwella
info,tv_umpire,Tariq Rasheed
info,match_referee,Hamim Khan
info,winner,Kuwait
info,winner_runs,26
info,player,Kuwait,R Sandaruwan
info,player,Kuwait,CV Anto
info,player,Kuwait,Meet Bhavsar
info,player,Kuwait,Usman Patel
info,player,Kuwait,Adnan Idrees
info,player,Kuwait,Yasin Patel
info,player,Kuwait,Nimish Lathief
info,player,Kuwait,Bilal Tahir
info,player,Kuwait,Sayed Monib
info,player,Kuwait,MNM Aslam
info,player,Kuwait,Shahrukh Quddus
info,player,Bahrain,Imran Ali Butt
info,player,Bahrain,Sarfaraz Ali
info,player,Bahrain,Haider Butt
info,player,Bahrain,Imran Anwar
info,player,Bahrain,Ahmer Bin Nisar
info,player,Bahrain,S Veerapathiran
info,player,Bahrain,Junaid Aziz
info,player,Bahrain,Ubaid Minhas
info,player,Bahrain,Rizwan Butt
info,player,Bahrain,Ali Dawood
info,player,Bahrain,Abdul Majid Abbasi
info,registry,people,Abdul Majid Abbasi,0cfb42b5
info,registry,people,Adnan Idrees,0e34c23a
info,registry,people,Ahmed Shah Durrani,af23265a
info,registry,people,Ahmer Bin Nisar,afbc53ba
info,registry,people,Ali Dawood,596982e6
info,registry,people,Bilal Tahir,3cf06094
info,registry,people,CV Anto,c01ca5af
info,registry,people,Haider Butt,14fd10b5
info,registry,people,Hamim Khan,f82540a3
info,registry,people,Imran Ali Butt,5d60560f
info,registry,people,Imran Anwar,a9a18e3e
info,registry,people,Junaid Aziz,c39ee9e0
info,registry,people,MNM Aslam,20481563
info,registry,people,Meet Bhavsar,b25a3800
info,registry,people,Nimish Lathief,b561e8ea
info,registry,people,R Sandaruwan,cf6acc0d
info,registry,people,RMPJ Rambukwella,13fa6ffc
info,registry,people,Rizwan Butt,e741ed8f
info,registry,people,S Veerapathiran,1e569fb0
info,registry,people,Sarfaraz Ali,db95ddeb
info,registry,people,Sayed Monib,b9cfb0b1
info,registry,people,Shahrukh Quddus,a80cc0cc
info,registry,people,Tariq Rasheed,1008518c
info,registry,people,Ubaid Minhas,87493f1d
info,registry,people,Usman Patel,415c6ccf
info,registry,people,Vinod Babu,37e6187d
info,registry,people,Yasin Patel,ecdd8d60
