version,2.2.0
info,balls_per_over,6
info,team,Ireland
info,team,Zimbabwe
info,gender,female
info,season,2024
info,date,2024/04/29
info,event,ICC Women's T20 World Cup Qualifier
info,match_number,10
info,venue,"Zayed Cricket Stadium, Abu Dhabi"
info,city,Abu Dhabi
info,toss_winner,Zimbabwe
info,toss_decision,field
info,player_of_match,A Hunter
info,umpire,K Klaaste
info,umpire,L McCabe
info,reserve_umpire,Gazi Sohel
info,match_referee,GS Lakshmi
info,winner,Ireland
info,winner_runs,56
info,player,Ireland,A Hunter
info,player,Ireland,GH Lewis
info,player,Ireland,O Prendergast
info,player,Ireland,R Stokell
info,player,Ireland,L Delany
info,player,Ireland,EAJ Richardson
info,player,Ireland,L Paul
info,player,Ireland,AN Kelly
info,player,Ireland,A Canning
info,player,Ireland,C Murray
info,player,Ireland,J Maguire
info,player,Zimbabwe,SM Mayers
info,player,Zimbabwe,M Mupachikwa
info,player,Zimbabwe,CS Mugeri-Tiripano
info,player,Zimbabwe,M Musonda
info,player,Zimbabwe,K Ndlovu
info,player,Zimbabwe,P Mujaji
info,player,Zimbabwe,A Ndiraya
info,player,Zimbabwe,J Nkomo
info,player,Zimbabwe,A Mazvishaya
info,player,Zimbabwe,F Chipare
info,player,Zimbabwe,L Mabhero
info,registry,people,A Canning,ffd5fcd8
info,registry,people,A Hunter,e8fa03ed
info,registry,people,A Mazvishaya,09a58e2d
info,registry,people,A Ndiraya,c8e6bddd
info,registry,people,AN Kelly,397369e0
info,registry,people,C Murray,5a50471c
info,registry,people,CS Mugeri-Tiripano,99c86133
info,registry,people,EAJ Richardson,50ee0500
info,registry,people,F Chipare,c0dc015b
info,registry,people,GH Lewis,1b9d1579
info,registry,people,GS Lakshmi,ba8d5615
info,registry,people,Gazi Sohel,f0df3ed7
info,registry,people,J Maguire,1b1c23bb
info,registry,people,J Nkomo,36dfa62e
info,registry,people,K Klaaste,6cc1d918
info,registry,people,K Ndlovu,8d25271a
info,registry,people,L Delany,b4f73b44
info,registry,people,L Mabhero,37f9eb59
info,registry,people,L McCabe,1dbc4a64
info,registry,people,L Paul,07248d8e
info,registry,people,M Mupachikwa,6657b319
info,registry,people,M Musonda,94b52754
info,registry,people,O Prendergast,d8f20ba5
info,registry,people,P Mujaji,a246f48f
info,registry,people,R Stokell,def7b1bb
info,registry,people,SM Mayers,91d9613e
