version,2.2.0
info,balls_per_over,6
info,team,Botswana
info,team,Lesotho
info,gender,female
info,season,2024
info,date,2024/04/22
info,event,BCA Kalahari Women's T20 International Tournament
info,match_number,1
info,venue,"Botswana Cricket Association Oval 1, Gaborone"
info,city,Gaborone
info,toss_winner,Botswana
info,toss_decision,bat
info,player_of_match,G Matome
info,umpire,Imran Zakir
info,umpire,R Nehonde
info,reserve_umpire,L Msemburi
info,winner,Botswana
info,winner_runs,113
info,player,Botswana,T Shadrack
info,player,Botswana,O Kgeresi
info,player,Botswana,L Mophakedi
info,player,Botswana,P Mapotsane
info,player,Botswana,G Matome
info,player,Botswana,W Moutswi
info,player,Botswana,A Mokgotlhe
info,player,Botswana,O Keitsemang
info,player,Botswana,M Phiase
info,player,Botswana,K Inakale
info,player,Botswana,L Kooagile
info,player,Lesotho,KM Molapo
info,player,Lesotho,T Kobeli
info,player,Lesotho,M Mokoatsela
info,player,Lesotho,T Khabo
info,player,Lesotho,MM Mabathoana
info,player,Lesotho,MA Nyabela
info,player,Lesotho,B Phelenyane
info,player,Lesotho,MA Tsemane
info,player,Lesotho,NM Mokhachane
info,player,Lesotho,TJ Mahe
info,player,Lesotho,R Limema
info,registry,people,A Mokgotlhe,781f1a40
info,registry,people,B Phelenyane,c982ad6f
info,registry,people,G Matome,a6898f7a
info,registry,people,Imran Zakir,0071171d
info,registry,people,K Inakale,eea862f6
info,registry,people,KM Molapo,dc5934a6
info,registry,people,L Kooagile,88c742fb
info,registry,people,L Mophakedi,c8cdbb92
info,registry,people,L Msemburi,ef6037f8
info,registry,people,M Mokoatsela,fc32e121
info,registry,people,M Phiase,537cc79f
info,registry,people,MA Nyabela,261fddca
info,registry,people,MA Tsemane,71eb9780
info,registry,people,MM Mabathoana,fb432bd3
info,registry,people,NM Mokhachane,6083f332
info,registry,people,O Keitsemang,5145239b
info,registry,people,O Kgeresi,cba01c28
info,registry,people,P Mapotsane,9ea555a4
info,registry,people,R Limema,95fdfe7e
info,registry,people,R Nehonde,4393e047
info,registry,people,T Khabo,7be9cb29
info,registry,people,T Kobeli,10f52b3a
info,registry,people,T Shadrack,6d972d02
info,registry,people,TJ Mahe,3c5b2e9e
info,registry,people,W Moutswi,e8c42000
