version,2.2.0
info,balls_per_over,6
info,team,Australia
info,team,India
info,gender,female
info,season,2023/24
info,date,2024/01/05
info,event,Australia Women tour of India
info,match_number,1
info,venue,"Dr DY Patil Sports Academy, Mumbai"
info,city,Navi Mumbai
info,toss_winner,India
info,toss_decision,field
info,player_of_match,TR Sadhu
info,umpire,N Janani
info,umpire,Vinod Seshan
info,reserve_umpire,Gayathri Venugopal
info,tv_umpire,M Kuppuraj
info,match_referee,AV Narvekar
info,winner,India
info,winner_wickets,9
info,player,Australia,AJ Healy
info,player,Australia,BL Mooney
info,player,Australia,TM McGrath
info,player,Australia,EA Perry
info,player,Australia,A Gardner
info,player,Australia,P Litchfield
info,player,Australia,GM Harris
info,player,Australia,A Sutherland
info,player,Australia,G Wareham
info,player,Australia,ML Schutt
info,player,Australia,D Brown
info,player,India,S Mandhana
info,player,India,Shafali Verma
info,player,India,JI Rodrigues
info,player,India,H Kaur
info,player,India,DB Sharma
info,player,India,RM Ghosh
info,player,India,AB Kaur
info,player,India,P Vastrakar
info,player,India,SR Patil
info,player,India,Renuka Singh
info,player,India,TR Sadhu
info,registry,people,A Gardner,bc969efb
info,registry,people,A Sutherland,65d9b6b6
info,registry,people,AB Kaur,9565fda6
info,registry,people,AJ Healy,321644de
info,registry,people,AV Narvekar,a7c9f985
info,registry,people,BL Mooney,52d1dbc8
info,registry,people,D Brown,2e81be88
info,registry,people,DB Sharma,201fef33
info,registry,people,EA Perry,be150fc8
info,registry,people,G Wareham,f0b4e47d
info,registry,people,GM Harris,72166006
info,registry,people,Gayathri Venugopal,20e3ae99
info,registry,people,H Kaur,53cd8da6
info,registry,people,JI Rodrigues,cb08b611
info,registry,people,M Kuppuraj,aa4063d0
info,registry,people,ML Schutt,17608a6f
info,registry,people,N Janani,d06a665d
info,registry,people,P Litchfield,4e6ef14f
info,registry,people,P Vastrakar,8026ea72
info,registry,people,RM Ghosh,721e0199
info,registry,people,Renuka Singh,7298db76
info,registry,people,S Mandhana,5d2eda89
info,registry,people,SR Patil,33946d69
info,registry,people,Shafali Verma,d8f59089
info,registry,people,TM McGrath,ca5acfa4
info,registry,people,TR Sadhu,25ca0573
info,registry,people,Vinod Seshan,a3357a27
