version,2.2.0
info,balls_per_over,6
info,team,South Africa
info,team,England
info,gender,female
info,season,2024/25
info,date,2024/11/30
info,event,England Women tour of South Africa
info,match_number,3
info,venue,"SuperSport Park, Centurion"
info,city,Centurion
info,toss_winner,England
info,toss_decision,field
info,player_of_match,CE Dean
info,umpire,N Perera
info,umpire,Siphelele Gasa
info,reserve_umpire,K Klaaste
info,tv_umpire,Lauren Agenbag
info,match_referee,SA Fritz
info,winner,England
info,winner_wickets,9
info,player,South Africa,F Tunnicliffe
info,player,South Africa,A Bosch
info,player,South Africa,A Dercksen
info,player,South Africa,S Luus
info,player,South Africa,CL Tryon
info,player,South Africa,N Shangase
info,player,South Africa,N de Klerk
info,player,South Africa,S Jafta
info,player,South Africa,E Marx
info,player,South Africa,TS Sekhukhune
info,player,South Africa,A Hlubi
info,player,England,ME Bouchier
info,player,England,DN Wyatt
info,player,England,SIR Dunkley
info,player,England,NR Sciver-Brunt
info,player,England,HC Knight
info,player,England,AE Jones
info,player,England,FG Kemp
info,player,England,S Ecclestone
info,player,England,CE Dean
info,player,England,LK Bell
info,player,England,L Filer
info,registry,people,A Bosch,dcf0e8f4
info,registry,people,A Dercksen,d2b1f515
info,registry,people,A Hlubi,ccaa3434
info,registry,people,AE Jones,b05e45e4
info,registry,people,CE Dean,c6625a26
info,registry,people,CL Tryon,4d4605e6
info,registry,people,DN Wyatt,a139c379
info,registry,people,E Marx,be592751
info,registry,people,F Tunnicliffe,41f534cd
info,registry,people,FG Kemp,abc9f8a4
info,registry,people,HC Knight,4ba0289e
info,registry,people,K Klaaste,6cc1d918
info,registry,people,L Filer,31adb911
info,registry,people,LK Bell,38b4583c
info,registry,people,Lauren Agenbag,40849abd
info,registry,people,ME Bouchier,c2554b59
info,registry,people,N Perera,129709f9
info,registry,people,N Shangase,b17a4a93
info,registry,people,N de Klerk,ea544967
info,registry,people,NR Sciver-Brunt,f3a18a0c
info,registry,people,S Ecclestone,cdb82f1c
info,registry,people,S Jafta,34304210
info,registry,people,S Luus,6d76bc23
info,registry,people,SA Fritz,d15e60c8
info,registry,people,SIR Dunkley,3a9e9cb2
info,registry,people,Siphelele Gasa,e50baa87
info,registry,people,TS Sekhukhune,6e28e586
