version,2.2.0
info,balls_per_over,6
info,team,England
info,team,India
info,gender,female
info,season,2023/24
info,date,2023/12/06
info,event,England Women tour of India
info,match_number,1
info,venue,"Wankhede Stadium, Mumbai"
info,city,Mumbai
info,toss_winner,India
info,toss_decision,field
info,player_of_match,NR Sciver-Brunt
info,umpire,HAS Khalid
info,umpire,VG Rathi
info,reserve_umpire,N Janani
info,tv_umpire,R Pandit
info,match_referee,VR Nagre
info,winner,England
info,winner_runs,38
info,player,England,SIR Dunkley
info,player,England,DN Wyatt
info,player,England,A Capsey
info,player,England,NR Sciver-Brunt
info,player,England,HC Knight
info,player,England,AE Jones
info,player,England,FG Kemp
info,player,England,S Ecclestone
info,player,England,S Glenn
info,player,England,LK Bell
info,player,England,M Gaur
info,player,India,Shafali Verma
info,player,India,S Mandhana
info,player,India,JI Rodrigues
info,player,India,H Kaur
info,player,India,RM Ghosh
info,player,India,KS Ahuja
info,player,India,P Vastrakar
info,player,India,DB Sharma
info,player,India,SR Patil
info,player,India,Renuka Singh
info,player,India,S Ishaque
info,registry,people,A Capsey,910dd54e
info,registry,people,AE Jones,b05e45e4
info,registry,people,DB Sharma,201fef33
info,registry,people,DN Wyatt,a139c379
info,registry,people,FG Kemp,abc9f8a4
info,registry,people,H Kaur,53cd8da6
info,registry,people,HAS Khalid,291ded7c
info,registry,people,HC Knight,4ba0289e
info,registry,people,JI Rodrigues,cb08b611
info,registry,people,KS Ahuja,58593620
info,registry,people,LK Bell,38b4583c
info,registry,people,M Gaur,df9cdebf
info,registry,people,N Janani,d06a665d
info,registry,people,NR Sciver-Brunt,f3a18a0c
info,registry,people,P Vastrakar,8026ea72
info,registry,people,R Pandit,8a604384
info,registry,people,RM Ghosh,721e0199
info,registry,people,Renuka Singh,7298db76
info,registry,people,S Ecclestone,cdb82f1c
info,registry,people,S Glenn,b34e0c77
info,registry,people,S Ishaque,f2c1f0e5
info,registry,people,S Mandhana,5d2eda89
info,registry,people,SIR Dunkley,3a9e9cb2
info,registry,people,SR Patil,33946d69
info,registry,people,Shafali Verma,d8f59089
info,registry,people,VG Rathi,144e5b16
info,registry,people,VR Nagre,fadaac76
