version,2.2.0
info,balls_per_over,6
info,team,Panama
info,team,Turks and Caicos Island
info,gender,male
info,season,2025
info,date,2025/04/17
info,event,Central American Cricket Championships
info,match_number,2
info,venue,"Clayton Panama, Panama City"
info,city,Panama City
info,toss_winner,Panama
info,toss_decision,bat
info,player_of_match,Ronitkumar Ahir
info,umpire,AR Maddela
info,umpire,R Shah
info,winner,Panama
info,winner_runs,49
info,player,Panama,P Jayeshbhai Patel
info,player,Panama,Meet Ahir
info,player,Panama,Breeze Ahir
info,player,Panama,Sohel Patel
info,player,Panama,Irfan Hafejee
info,player,Panama,A Natubhai Ahir
info,player,Panama,LR Gaonkar
info,player,Panama,FL Patel
info,player,Panama,Ronitkumar Ahir
info,player,Panama,P Suman Bhai Ahir
info,player,Panama,Sanjay Kumar Ahir
info,player,Turks and Caicos Island,G Bruno
info,player,Turks and Caicos Island,A McKnight
info,player,Turks and Caicos Island,M Smith
info,player,Turks and Caicos Island,S Hunter
info,player,Turks and Caicos Island,E Henry
info,player,Turks and Caicos Island,J Daley
info,player,Turks and Caicos Island,D St Ange
info,player,Turks and Caicos Island,G Campbell
info,player,Turks and Caicos Island,G Kuthalingham
info,player,Turks and Caicos Island,D Bourne
info,player,Turks and Caicos Island,R Johnson
info,registry,people,A McKnight,98aa2a5a
info,registry,people,A Natubhai Ahir,9c91218d
info,registry,people,AR Maddela,5c861579
info,registry,people,Breeze Ahir,da09ca26
info,registry,people,D Bourne,67d40eaa
info,registry,people,D St Ange,ede30898
info,registry,people,E Henry,fd6e215b
info,registry,people,FL Patel,e205ce8b
info,registry,people,G Bruno,589f2008
info,registry,people,G Campbell,220d2ac0
info,registry,people,G Kuthalingham,faff7eac
info,registry,people,Irfan Hafejee,244009ae
info,registry,people,J Daley,7b6623bc
info,registry,people,LR Gaonkar,e51abd5e
info,registry,people,M Smith,3296507e
info,registry,people,Meet Ahir,642d2883
info,registry,people,P Jayeshbhai Patel,3317dc7a
info,registry,people,P Suman Bhai Ahir,af3042f1
info,registry,people,R Johnson,fabbb9e0
info,registry,people,R Shah,3424e050
info,registry,people,Ronitkumar Ahir,402ea377
info,registry,people,S Hunter,aac584a8
info,registry,people,Sanjay Kumar Ahir,d11e0c76
info,registry,people,Sohel Patel,9ac70727
