version,2.2.0
info,balls_per_over,6
info,team,Norway
info,team,Luxembourg
info,gender,female
info,season,2024
info,date,2024/09/15
info,event,Women's T20I Quadrangular Series (in Denmark)
info,venue,Koge Cricket Club 2
info,city,Koge
info,toss_winner,Norway
info,toss_decision,bat
info,player_of_match,SH Lawlor
info,umpire,G O'Grady
info,umpire,Zeb Pirzada
info,winner,Norway
info,winner_runs,22
info,player,Norway,AS Gorad
info,player,Norway,Nayab Razwan
info,player,Norway,Nayab Alizai
info,player,Norway,R Immadi
info,player,Norway,Alina Aslam
info,player,Norway,Mahnoor Akram
info,player,Norway,Mirab Razwan
info,player,Norway,VB Viyala
info,player,Norway,P Agrawal
info,player,Norway,Lopamudra
info,player,Norway,Purvi Kumari
info,player,Luxembourg,SH Lawlor
info,player,Luxembourg,GEM Brealey
info,player,Luxembourg,PN Agarwal
info,player,Luxembourg,Jagrat Dubey
info,player,Luxembourg,Aarti Priya
info,player,Luxembourg,Khusboo Kandpal
info,player,Luxembourg,Shivani Sati
info,player,Luxembourg,Divya Kandpal
info,player,Luxembourg,Navneet Bamrah
info,player,Luxembourg,Kerry Fraser
info,player,Luxembourg,FC Ellingworth
info,registry,people,AS Gorad,2c8d0953
info,registry,people,Aarti Priya,ec11ad0b
info,registry,people,Alina Aslam,fbffb752
info,registry,people,Divya Kandpal,32b8d4fe
info,registry,people,FC Ellingworth,030c39f1
info,registry,people,G O'Grady,e5f74630
info,registry,people,GEM Brealey,f2b769ad
info,registry,people,Jagrat Dubey,a4051019
info,registry,people,Kerry Fraser,8bebbcd4
info,registry,people,Khusboo Kandpal,54a10889
info,registry,people,Lopamudra,ff4509d5
info,registry,people,Mahnoor Akram,2b7c2d50
info,registry,people,Mirab Razwan,498031f9
info,registry,people,Navneet Bamrah,edcd403f
info,registry,people,Nayab Alizai,7861375e
info,registry,people,Nayab Razwan,f12e21a0
info,registry,people,P Agrawal,bb1fcd51
info,registry,people,PN Agarwal,f34a3a74
info,registry,people,Purvi Kumari,68339baa
info,registry,people,R Immadi,baeae6dd
info,registry,people,SH Lawlor,29342bbe
info,registry,people,Shivani Sati,b49ab82b
info,registry,people,VB Viyala,228a747d
info,registry,people,Zeb Pirzada,716e41af
