version,2.2.0
info,balls_per_over,6
info,team,West Indies
info,team,England
info,gender,male
info,season,2023/24
info,date,2023/12/16
info,event,England tour of West Indies
info,match_number,3
info,venue,"National Cricket Stadium, St George's, Grenada"
info,city,St George's
info,toss_winner,England
info,toss_decision,field
info,player_of_match,PD Salt
info,umpire,LS Reifer
info,umpire,N Duguid
info,reserve_umpire,GO Brathwaite
info,tv_umpire,PA Gustard
info,match_referee,RB Richardson
info,winner,England
info,winner_wickets,7
info,player,West Indies,BA King
info,player,West Indies,KR Mayers
info,player,West Indies,N Pooran
info,player,West Indies,SD Hope
info,player,West Indies,R Powell
info,player,West Indies,SE Rutherford
info,player,West Indies,AD Russell
info,player,West Indies,JO Holder
info,player,West Indies,G Motie
info,player,West Indies,AJ Hosein
info,player,West Indies,AS Joseph
info,player,England,PD Salt
info,player,England,JC Buttler
info,player,England,WG Jacks
info,player,England,LS Livingstone
info,player,England,HC Brook
info,player,England,MM Ali
info,player,England,SM Curran
info,player,England,AU Rashid
info,player,England,AAP Atkinson
info,player,England,RJW Topley
info,player,England,TS Mills
info,registry,people,AAP Atkinson,70d57519
info,registry,people,AD Russell,bbd41817
info,registry,people,AJ Hosein,4d7f517e
info,registry,people,AS Joseph,b0946605
info,registry,people,AU Rashid,249d60c9
info,registry,people,BA King,7fca84b7
info,registry,people,G Motie,97bdec3d
info,registry,people,GO Brathwaite,1ace56d4
info,registry,people,HC Brook,4ae1755b
info,registry,people,JC Buttler,99b75528
info,registry,people,JO Holder,0f721006
info,registry,people,KR Mayers,73c18486
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,LS Reifer,5dee559a
info,registry,people,MM Ali,bb351c23
info,registry,people,N Duguid,64495506
info,registry,people,N Pooran,3241e3fd
info,registry,people,PA Gustard,25bcf808
info,registry,people,PD Salt,3d284ca3
info,registry,people,R Powell,650d5e49
info,registry,people,RB Richardson,410e2f12
info,registry,people,RJW Topley,8db7f47f
info,registry,people,SD Hope,1fc6ef83
info,registry,people,SE Rutherford,d014d5ac
info,registry,people,SM Curran,e94915e6
info,registry,people,TS Mills,245c97cb
info,registry,people,WG Jacks,9caf69a1
