version,2.2.0
info,balls_per_over,6
info,team,Kenya
info,team,Rwanda
info,gender,female
info,season,2024
info,date,2024/09/11
info,event,Rwanda Women tour of Kenya
info,match_number,3
info,venue,"Sikh Union Club Ground, Nairobi"
info,city,Nairobi
info,toss_winner,Kenya
info,toss_decision,bat
info,player_of_match,MD Bimenyimana
info,umpire,Charles Kariuki
info,umpire,D Odhiambo
info,reserve_umpire,D Angara
info,winner,Rwanda
info,winner_wickets,7
info,player,Kenya,Q Abel
info,player,Kenya,C Muthoni
info,player,Kenya,MI Khagoitsa
info,player,Kenya,E Wachira
info,player,Kenya,V Ooko
info,player,Kenya,JS Ndanu
info,player,Kenya,ZM Hamisi
info,player,Kenya,A Wanjira
info,player,Kenya,AW Wambua
info,player,Kenya,F Odhiambo
info,player,Kenya,J Ajiambo
info,player,Rwanda,M Uwase
info,player,Rwanda,MD Bimenyimana
info,player,Rwanda,C Uwase
info,player,Rwanda,G Ishimwe
info,player,Rwanda,H Ishimwe
info,player,Rwanda,Rosine Irera
info,player,Rwanda,G Ingabire
info,player,Rwanda,I Muhawenimana
info,player,Rwanda,C Umutonni
info,player,Rwanda,B Murekatete
info,player,Rwanda,A Ikuzwe
info,registry,people,A Ikuzwe,6762a445
info,registry,people,A Wanjira,b6015231
info,registry,people,AW Wambua,968878a7
info,registry,people,B Murekatete,2d4317da
info,registry,people,C Muthoni,f85462b1
info,registry,people,C Umutonni,5ab614e2
info,registry,people,C Uwase,808bb510
info,registry,people,Charles Kariuki,8de34db0
info,registry,people,D Angara,bfa866cc
info,registry,people,D Odhiambo,45994517
info,registry,people,E Wachira,f5e70dd4
info,registry,people,F Odhiambo,97eb9a07
info,registry,people,G Ingabire,2c00691c
info,registry,people,G Ishimwe,b5ae57ee
info,registry,people,H Ishimwe,ffa296f7
info,registry,people,I Muhawenimana,2f37396f
info,registry,people,J Ajiambo,c3a998fa
info,registry,people,JS Ndanu,c27e0638
info,registry,people,M Uwase,7d6ce83f
info,registry,people,MD Bimenyimana,c1a0cebe
info,registry,people,MI Khagoitsa,2d772f77
info,registry,people,Q Abel,2e988457
info,registry,people,Rosine Irera,b84718fd
info,registry,people,V Ooko,2ae76bf6
info,registry,people,ZM Hamisi,8f0fd229
