version,2.2.0
info,balls_per_over,6
info,team,Nepal
info,team,Oman
info,gender,male
info,season,2024
info,date,2024/10/02
info,event,Canada T20 Tri-Series
info,match_number,5
info,venue,"Maple Leaf North-West Ground, King City"
info,city,King City
info,toss_winner,Oman
info,toss_decision,field
info,umpire,AR Maddela
info,umpire,R Shah
info,reserve_umpire,V Sudhakar
info,match_referee,Neeyamur Rashid
info,winner,Nepal
info,winner_runs,56
info,player,Nepal,AK Sah
info,player,Nepal,Aasif Sheikh
info,player,Nepal,D Khanal
info,player,Nepal,Kushal Malla
info,player,Nepal,RK Paudel
info,player,Nepal,Gulsan Jha
info,player,Nepal,DS Airee
info,player,Nepal,K Bhurtel
info,player,Nepal,Sompal Kami
info,player,Nepal,S Lamichhane
info,player,Nepal,R Dhakal
info,player,Oman,Aqib Ilyas
info,player,Oman,KH Prajapati
info,player,Oman,Shoaib Khan
info,player,Oman,Zeeshan Maqsood
info,player,Oman,Khalid Kail
info,player,Oman,Ayan Khan
info,player,Oman,Rafiullah
info,player,Oman,PS Athavale
info,player,Oman,Fayyaz Butt
info,player,Oman,Shakeel Ahmed
info,player,Oman,Kaleemullah
info,registry,people,AK Sah,5b1d6583
info,registry,people,AR Maddela,5c861579
info,registry,people,Aasif Sheikh,dcbea954
info,registry,people,Aqib Ilyas,b3b39bed
info,registry,people,Ayan Khan,44d6a8b8
info,registry,people,D Khanal,c4bc3b59
info,registry,people,DS Airee,1747ea18
info,registry,people,Fayyaz Butt,bd9fbd51
info,registry,people,Gulsan Jha,9811e35e
info,registry,people,K Bhurtel,e3386c8a
info,registry,people,KH Prajapati,c4e73ff1
info,registry,people,Kaleemullah,72253b87
info,registry,people,Khalid Kail,3ee90b67
info,registry,people,Kushal Malla,7e9f1cde
info,registry,people,Neeyamur Rashid,bd81a027
info,registry,people,PS Athavale,c2f12310
info,registry,people,R Dhakal,8399a7af
info,registry,people,R Shah,3424e050
info,registry,people,RK Paudel,1a3cc554
info,registry,people,Rafiullah,369cc49c
info,registry,people,S Lamichhane,b410bd3d
info,registry,people,Shakeel Ahmed,e29e9c12
info,registry,people,Shoaib Khan,21afb939
info,registry,people,Sompal Kami,1adb8ee8
info,registry,people,V Sudhakar,816e48f6
info,registry,people,Zeeshan Maqsood,34464143
