version,2.2.0
info,balls_per_over,6
info,team,Uganda
info,team,Kenya
info,gender,male
info,season,2023/24
info,date,2024/03/17
info,event,African Games
info,match_number,4
info,venue,"Achimota Senior Secondary School B Field, Accra"
info,city,Accra
info,toss_winner,Uganda
info,toss_decision,bat
info,player_of_match,DM Nakrani
info,umpire,Habib Enesi
info,umpire,I Chabi
info,reserve_umpire,S Dambanevana
info,match_referee,O Chirombe
info,winner,Uganda
info,winner_runs,72
info,player,Uganda,RG Mukasa
info,player,Uganda,S Sesazi
info,player,Uganda,R Lutaaya
info,player,Uganda,K Waiswa
info,player,Uganda,DM Nakrani
info,player,Uganda,AR Ramjani
info,player,Uganda,CN Kakuru
info,player,Uganda,B Masaba
info,player,Uganda,C Kyewuta
info,player,Uganda,Bilal Hassun
info,player,Uganda,H Ssenyondo
info,player,Kenya,Gurdeep Singh
info,player,Kenya,N Mugabe
info,player,Kenya,S Singh
info,player,Kenya,RR Patel
info,player,Kenya,CO Obuya
info,player,Kenya,NM Odhiambo
info,player,Kenya,SO Ngoche
info,player,Kenya,LN Oluoch
info,player,Kenya,EB Ringera
info,player,Kenya,P Koech
info,player,Kenya,Vishil Patel
info,registry,people,AR Ramjani,30d8136b
info,registry,people,B Masaba,f33cfd25
info,registry,people,Bilal Hassun,1a9e9efe
info,registry,people,C Kyewuta,395695ce
info,registry,people,CN Kakuru,f6aed283
info,registry,people,CO Obuya,5680f1ad
info,registry,people,DM Nakrani,46a7ac78
info,registry,people,EB Ringera,6cedad99
info,registry,people,Gurdeep Singh,31865a5b
info,registry,people,H Ssenyondo,2b7609f1
info,registry,people,Habib Enesi,fb35ab1f
info,registry,people,I Chabi,5e39110e
info,registry,people,K Waiswa,a3a275ec
info,registry,people,LN Oluoch,eb4f9c61
info,registry,people,N Mugabe,3e28808e
info,registry,people,NM Odhiambo,c07a1f41
info,registry,people,O Chirombe,6345307f
info,registry,people,P Koech,f4a0a615
info,registry,people,R Lutaaya,04e0cdec
info,registry,people,RG Mukasa,011f6b42
info,registry,people,RR Patel,7fa6bd8e
info,registry,people,S Dambanevana,039923bd
info,registry,people,S Sesazi,c2c975f9
info,registry,people,S Singh,612a395c
info,registry,people,SO Ngoche,49118dc7
info,registry,people,Vishil Patel,3df8f9d5
