version,2.2.0
info,balls_per_over,6
info,team,Qatar
info,team,Bahrain
info,gender,female
info,season,2023
info,date,2023/08/31
info,event,ICC Women's T20 World Cup Asia Region Qualifier
info,match_number,2
info,venue,"UKM-YSD Cricket Oval, Bangi"
info,city,Bangi
info,toss_winner,Qatar
info,toss_decision,bat
info,player_of_match,HMD Rasangika
info,umpire,VK Jha
info,umpire,V Kalidas
info,reserve_umpire,N Janani
info,match_referee,M Nayyar
info,winner,Bahrain
info,winner_wickets,5
info,player,Qatar,SK Rana
info,player,Qatar,Khadija Imtiaz
info,player,Qatar,S Dhadwal
info,player,Qatar,Aysha
info,player,Qatar,SA Panayan
info,player,Qatar,Sabah Nawab
info,player,Qatar,Aleena Khan
info,player,Qatar,RS Quyn
info,player,Qatar,Rizpha Bano
info,player,Qatar,S Thapa
info,player,Qatar,H Agarwal
info,player,Bahrain,TI Gajanayake
info,player,Bahrain,R Rodrigo
info,player,Bahrain,HMD Rasangika
info,player,Bahrain,Abeera Waris
info,player,Bahrain,I Suhun
info,player,Bahrain,G Fernando
info,player,Bahrain,P Shetty
info,player,Bahrain,Prajna Jagdeesha
info,player,Bahrain,Sadamali Bhakshala
info,player,Bahrain,Manal Malik
info,player,Bahrain,Ashwini Govinda
info,registry,people,Abeera Waris,01396dc6
info,registry,people,Aleena Khan,97f2faf0
info,registry,people,Ashwini Govinda,5581a471
info,registry,people,Aysha,37ceee4e
info,registry,people,G Fernando,4e2def5c
info,registry,people,H Agarwal,3f886270
info,registry,people,HMD Rasangika,d6f9dfd6
info,registry,people,I Suhun,41bfb2a9
info,registry,people,Khadija Imtiaz,1438d928
info,registry,people,M Nayyar,b7bccddb
info,registry,people,Manal Malik,a8d0b86f
info,registry,people,N Janani,d06a665d
info,registry,people,P Shetty,0dda36e7
info,registry,people,Prajna Jagdeesha,b79932e1
info,registry,people,R Rodrigo,fe676043
info,registry,people,RS Quyn,41721f6b
info,registry,people,Rizpha Bano,c7832845
info,registry,people,S Dhadwal,7e2c16a3
info,registry,people,S Thapa,36d3ed28
info,registry,people,SA Panayan,cad60789
info,registry,people,SK Rana,47884f8e
info,registry,people,Sabah Nawab,a6a22a96
info,registry,people,Sadamali Bhakshala,89df3901
info,registry,people,TI Gajanayake,d577d45a
info,registry,people,V Kalidas,42d76418
info,registry,people,VK Jha,5d46eb72
