version,2.2.0
info,balls_per_over,6
info,team,Lesotho
info,team,Botswana
info,gender,male
info,season,2022/23
info,date,2022/11/18
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier
info,match_number,6
info,venue,Integrated Polytechnic Regional Centre
info,city,Kigali City
info,toss_winner,Botswana
info,toss_decision,field
info,player_of_match,D Maisuria
info,umpire,BM White
info,umpire,IO Oyieko
info,reserve_umpire,Patric Makumbi
info,match_referee,S Wadvalla
info,winner,Botswana
info,winner_wickets,10
info,player,Lesotho,C Tlali
info,player,Lesotho,LM Gabriel
info,player,Lesotho,AAA Patel
info,player,Lesotho,Maaz Khan
info,player,Lesotho,Waseem Yaqoob
info,player,Lesotho,Sameer Patel
info,player,Lesotho,TD Chaoana
info,player,Lesotho,V Jayant
info,player,Lesotho,YYM Jakda
info,player,Lesotho,ME Leoela
info,player,Lesotho,MV Matsau
info,player,Botswana,K Motlanka
info,player,Botswana,R Nehonde
info,player,Botswana,T Perera
info,player,Botswana,M Mooketsi
info,player,Botswana,P Silas
info,player,Botswana,V Mbazo
info,player,Botswana,B Kgosiemang
info,player,Botswana,K Piet
info,player,Botswana,V Balakrishnan
info,player,Botswana,D Maisuria
info,player,Botswana,T Tshose
info,registry,people,AAA Patel,fd3c5c00
info,registry,people,B Kgosiemang,059ec7a5
info,registry,people,BM White,66c21d35
info,registry,people,C Tlali,70841eab
info,registry,people,D Maisuria,a96b36af
info,registry,people,IO Oyieko,de4828fa
info,registry,people,K Motlanka,21549344
info,registry,people,K Piet,39fd9295
info,registry,people,LM Gabriel,88a5adcf
info,registry,people,M Mooketsi,008a024c
info,registry,people,ME Leoela,3b107df5
info,registry,people,MV Matsau,dad64776
info,registry,people,Maaz Khan,6f14ddcb
info,registry,people,P Silas,9f2e1944
info,registry,people,Patric Makumbi,e4c69c16
info,registry,people,R Nehonde,4393e047
info,registry,people,S Wadvalla,c1a1acf3
info,registry,people,Sameer Patel,2bae86b6
info,registry,people,T Perera,456397e5
info,registry,people,T Tshose,18ae55e4
info,registry,people,TD Chaoana,16ddd36b
info,registry,people,V Balakrishnan,0c1da0c4
info,registry,people,V Jayant,6535cc7b
info,registry,people,V Mbazo,a2317d14
info,registry,people,Waseem Yaqoob,06b387f1
info,registry,people,YYM Jakda,2e3dc859
